,BLDGID,Area,Cool_Elec,Heat_Elec,IN_light_Elec,OUT_light_Elec,HVAC_Intensity,Light_Intensity,Heat_rejection,HVAC_Elec_Intensity,HVAC_Ngas_Intensity,Total_Elec,Total_Elec_Intensity,Heat_NatG,Total_NatG,Total_NatG_Intensity,F_AREA_M2,AVGHT_M
26,10105,140599.95,1388.86,0,13382.41,2604.58,22.64,113.71,327.32,22.64,198.25,37497.9,266.7,27786.59,27873.98,198.25,3426.761,123.32
27,10105,140599.95,1388.86,0,13382.41,2604.58,22.64,113.71,327.32,22.64,198.25,37497.9,266.7,27786.59,27873.98,198.25,3426.761,123.32
28,10105,140599.95,1388.86,0,13382.41,2604.58,22.64,113.71,327.32,22.64,198.25,37497.9,266.7,27786.59,27873.98,198.25,3426.761,123.32
29,10108,57755.42,546.58,0,5497.21,2604.58,21.46,140.28,129.71,21.46,183.93,16869.81,292.09,10535.48,10622.87,183.93,5009.883,30.27
30,10108,57755.42,546.58,0,5497.21,2604.58,21.46,140.28,129.71,21.46,183.93,16869.81,292.09,10535.48,10622.87,183.93,5009.883,30.27
31,10108,57755.42,546.58,0,5497.21,2604.58,21.46,140.28,129.71,21.46,183.93,16869.81,292.09,10535.48,10622.87,183.93,5009.883,30.27
32,10108,57755.42,546.58,0,5497.21,2604.58,21.46,140.28,129.71,21.46,183.93,16869.81,292.09,10535.48,10622.87,183.93,5009.883,30.27
33,10108,57755.42,546.58,0,5497.21,2604.58,21.46,140.28,129.71,21.46,183.93,16869.81,292.09,10535.48,10622.87,183.93,5009.883,30.27
34,10119,46754.14,581.69,0,4450.1,2604.58,29.27,150.89,136.67,29.27,259.45,14518.16,310.52,12043.09,12130.47,259.45,1297.779,106.4
35,10119,46754.14,581.69,0,4450.1,2604.58,29.27,150.89,136.67,29.27,259.45,14518.16,310.52,12043.09,12130.47,259.45,1297.779,106.4
36,10119,46754.14,581.69,0,4450.1,2604.58,29.27,150.89,136.67,29.27,259.45,14518.16,310.52,12043.09,12130.47,259.45,1297.779,106.4
37,10121,129451.4,1338,0,12321.29,2604.58,23.97,115.3,315.65,23.97,219.07,34904.08,269.63,28271.25,28358.64,219.07,2487.627,155.9
38,10121,129451.4,1338,0,12321.29,2604.58,23.97,115.3,315.65,23.97,219.07,34904.08,269.63,28271.25,28358.64,219.07,2487.627,155.9
39,10121,129451.4,1338,0,12321.29,2604.58,23.97,115.3,315.65,23.97,219.07,34904.08,269.63,28271.25,28358.64,219.07,2487.627,155.9
40,10121,129451.4,1338,0,12321.29,2604.58,23.97,115.3,315.65,23.97,219.07,34904.08,269.63,28271.25,28358.64,219.07,2487.627,155.9
41,10121,129451.4,1338,0,12321.29,2604.58,23.97,115.3,315.65,23.97,219.07,34904.08,269.63,28271.25,28358.64,219.07,2487.627,155.9
42,10141,99586.96,1053.93,0,9478.76,2604.58,24.49,121.33,247.54,24.49,217.86,27504.3,276.18,21608.91,21696.3,217.86,2314.283,129.14
43,10141,99586.96,1053.93,0,9478.76,2604.58,24.49,121.33,247.54,24.49,217.86,27504.3,276.18,21608.91,21696.3,217.86,2314.283,129.14
44,10141,99586.96,1053.93,0,9478.76,2604.58,24.49,121.33,247.54,24.49,217.86,27504.3,276.18,21608.91,21696.3,217.86,2314.283,129.14
45,10141,99586.96,1053.93,0,9478.76,2604.58,24.49,121.33,247.54,24.49,217.86,27504.3,276.18,21608.91,21696.3,217.86,2314.283,129.14
46,10141,99586.96,1053.93,0,9478.76,2604.58,24.49,121.33,247.54,24.49,217.86,27504.3,276.18,21608.91,21696.3,217.86,2314.283,129.14
47,10141,99586.96,1053.93,0,9478.76,2604.58,24.49,121.33,247.54,24.49,217.86,27504.3,276.18,21608.91,21696.3,217.86,2314.283,129.14
48,10141,99586.96,1053.93,0,9478.76,2604.58,24.49,121.33,247.54,24.49,217.86,27504.3,276.18,21608.91,21696.3,217.86,2314.283,129.14
49,10141,99586.96,1053.93,0,9478.76,2604.58,24.49,121.33,247.54,24.49,217.86,27504.3,276.18,21608.91,21696.3,217.86,2314.283,129.14
50,10151,25331.57,288.66,0,2411.08,2604.58,26.44,198,67.96,26.44,236.97,8987.59,354.8,5915.48,6002.86,236.97,1582.066,45.31
51,10151,25331.57,288.66,0,2411.08,2604.58,26.44,198,67.96,26.44,236.97,8987.59,354.8,5915.48,6002.86,236.97,1582.066,45.31
52,10151,25331.57,288.66,0,2411.08,2604.58,26.44,198,67.96,26.44,236.97,8987.59,354.8,5915.48,6002.86,236.97,1582.066,45.31
53,10151,25331.57,288.66,0,2411.08,2604.58,26.44,198,67.96,26.44,236.97,8987.59,354.8,5915.48,6002.86,236.97,1582.066,45.31
54,10151,25331.57,288.66,0,2411.08,2604.58,26.44,198,67.96,26.44,236.97,8987.59,354.8,5915.48,6002.86,236.97,1582.066,45.31
55,10151,25331.57,288.66,0,2411.08,2604.58,26.44,198,67.96,26.44,236.97,8987.59,354.8,5915.48,6002.86,236.97,1582.066,45.31
56,10151,25331.57,288.66,0,2411.08,2604.58,26.44,198,67.96,26.44,236.97,8987.59,354.8,5915.48,6002.86,236.97,1582.066,45.31
57,10151,25331.57,288.66,0,2411.08,2604.58,26.44,198,67.96,26.44,236.97,8987.59,354.8,5915.48,6002.86,236.97,1582.066,45.31
58,10151,25331.57,288.66,0,2411.08,2604.58,26.44,198,67.96,26.44,236.97,8987.59,354.8,5915.48,6002.86,236.97,1582.066,45.31
59,10153,83576.04,828.81,0,7954.83,2604.58,22.61,126.35,194.96,22.61,193.1,23343.77,279.31,16050.91,16138.29,193.1,3279.054,71.72
60,10153,83576.04,828.81,0,7954.83,2604.58,22.61,126.35,194.96,22.61,193.1,23343.77,279.31,16050.91,16138.29,193.1,3279.054,71.72
61,10153,83576.04,828.81,0,7954.83,2604.58,22.61,126.35,194.96,22.61,193.1,23343.77,279.31,16050.91,16138.29,193.1,3279.054,71.72
62,10153,83576.04,828.81,0,7954.83,2604.58,22.61,126.35,194.96,22.61,193.1,23343.77,279.31,16050.91,16138.29,193.1,3279.054,71.72
63,10153,83576.04,828.81,0,7954.83,2604.58,22.61,126.35,194.96,22.61,193.1,23343.77,279.31,16050.91,16138.29,193.1,3279.054,71.72
64,10153,83576.04,828.81,0,7954.83,2604.58,22.61,126.35,194.96,22.61,193.1,23343.77,279.31,16050.91,16138.29,193.1,3279.054,71.72
65,10153,83576.04,828.81,0,7954.83,2604.58,22.61,126.35,194.96,22.61,193.1,23343.77,279.31,16050.91,16138.29,193.1,3279.054,71.72
66,10153,83576.04,828.81,0,7954.83,2604.58,22.61,126.35,194.96,22.61,193.1,23343.77,279.31,16050.91,16138.29,193.1,3279.054,71.72
67,10153,83576.04,828.81,0,7954.83,2604.58,22.61,126.35,194.96,22.61,193.1,23343.77,279.31,16050.91,16138.29,193.1,3279.054,71.72
68,10153,83576.04,828.81,0,7954.83,2604.58,22.61,126.35,194.96,22.61,193.1,23343.77,279.31,16050.91,16138.29,193.1,3279.054,71.72
69,10153,83576.04,828.81,0,7954.83,2604.58,22.61,126.35,194.96,22.61,193.1,23343.77,279.31,16050.91,16138.29,193.1,3279.054,71.72
70,10153,83576.04,828.81,0,7954.83,2604.58,22.61,126.35,194.96,22.61,193.1,23343.77,279.31,16050.91,16138.29,193.1,3279.054,71.72
71,10153,83576.04,828.81,0,7954.83,2604.58,22.61,126.35,194.96,22.61,193.1,23343.77,279.31,16050.91,16138.29,193.1,3279.054,71.72
72,10153,83576.04,828.81,0,7954.83,2604.58,22.61,126.35,194.96,22.61,193.1,23343.77,279.31,16050.91,16138.29,193.1,3279.054,71.72
73,10153,83576.04,828.81,0,7954.83,2604.58,22.61,126.35,194.96,22.61,193.1,23343.77,279.31,16050.91,16138.29,193.1,3279.054,71.72
74,10153,83576.04,828.81,0,7954.83,2604.58,22.61,126.35,194.96,22.61,193.1,23343.77,279.31,16050.91,16138.29,193.1,3279.054,71.72
75,10157,283570.83,2661.24,0,26990.5,2604.58,21.34,104.37,622.33,21.34,192.54,72611.49,256.06,54509.94,54597.33,192.54,4971.281,171.1
76,10157,283570.83,2661.24,0,26990.5,2604.58,21.34,104.37,622.33,21.34,192.54,72611.49,256.06,54509.94,54597.33,192.54,4971.281,171.1
77,10157,283570.83,2661.24,0,26990.5,2604.58,21.34,104.37,622.33,21.34,192.54,72611.49,256.06,54509.94,54597.33,192.54,4971.281,171.1
78,10157,283570.83,2661.24,0,26990.5,2604.58,21.34,104.37,622.33,21.34,192.54,72611.49,256.06,54509.94,54597.33,192.54,4971.281,171.1
79,10157,283570.83,2661.24,0,26990.5,2604.58,21.34,104.37,622.33,21.34,192.54,72611.49,256.06,54509.94,54597.33,192.54,4971.281,171.1
80,10157,283570.83,2661.24,0,26990.5,2604.58,21.34,104.37,622.33,21.34,192.54,72611.49,256.06,54509.94,54597.33,192.54,4971.281,171.1
81,10157,283570.83,2661.24,0,26990.5,2604.58,21.34,104.37,622.33,21.34,192.54,72611.49,256.06,54509.94,54597.33,192.54,4971.281,171.1
82,10157,283570.83,2661.24,0,26990.5,2604.58,21.34,104.37,622.33,21.34,192.54,72611.49,256.06,54509.94,54597.33,192.54,4971.281,171.1
83,10157,283570.83,2661.24,0,26990.5,2604.58,21.34,104.37,622.33,21.34,192.54,72611.49,256.06,54509.94,54597.33,192.54,4971.281,171.1
84,10157,283570.83,2661.24,0,26990.5,2604.58,21.34,104.37,622.33,21.34,192.54,72611.49,256.06,54509.94,54597.33,192.54,4971.281,171.1
85,10157,283570.83,2661.24,0,26990.5,2604.58,21.34,104.37,622.33,21.34,192.54,72611.49,256.06,54509.94,54597.33,192.54,4971.281,171.1
86,10182,62671.56,647.77,0,5965.13,2604.58,23.57,136.74,152.29,23.57,189.69,18216.7,290.67,11800.52,11887.91,189.69,4473.261,38.32
87,10182,62671.56,647.77,0,5965.13,2604.58,23.57,136.74,152.29,23.57,189.69,18216.7,290.67,11800.52,11887.91,189.69,4473.261,38.32
88,10182,62671.56,647.77,0,5965.13,2604.58,23.57,136.74,152.29,23.57,189.69,18216.7,290.67,11800.52,11887.91,189.69,4473.261,38.32
89,10182,62671.56,647.77,0,5965.13,2604.58,23.57,136.74,152.29,23.57,189.69,18216.7,290.67,11800.52,11887.91,189.69,4473.261,38.32
90,10182,62671.56,647.77,0,5965.13,2604.58,23.57,136.74,152.29,23.57,189.69,18216.7,290.67,11800.52,11887.91,189.69,4473.261,38.32
91,10182,62671.56,647.77,0,5965.13,2604.58,23.57,136.74,152.29,23.57,189.69,18216.7,290.67,11800.52,11887.91,189.69,4473.261,38.32
92,10182,62671.56,647.77,0,5965.13,2604.58,23.57,136.74,152.29,23.57,189.69,18216.7,290.67,11800.52,11887.91,189.69,4473.261,38.32
93,10182,62671.56,647.77,0,5965.13,2604.58,23.57,136.74,152.29,23.57,189.69,18216.7,290.67,11800.52,11887.91,189.69,4473.261,38.32
94,10182,62671.56,647.77,0,5965.13,2604.58,23.57,136.74,152.29,23.57,189.69,18216.7,290.67,11800.52,11887.91,189.69,4473.261,38.32
95,10182,62671.56,647.77,0,5965.13,2604.58,23.57,136.74,152.29,23.57,189.69,18216.7,290.67,11800.52,11887.91,189.69,4473.261,38.32
96,10183,105737.46,1085.03,0,10064.18,2604.58,23.65,119.81,255.13,23.65,206.77,28953.65,273.83,21775.59,21862.98,206.77,2709.229,117.11
97,10231,200254.52,1793.78,0,19060.38,2604.58,20.07,108.19,418.48,20.07,168.38,51789.75,258.62,33631.44,33718.83,168.38,11771.038,50.16
98,10231,200254.52,1793.78,0,19060.38,2604.58,20.07,108.19,418.48,20.07,168.38,51789.75,258.62,33631.44,33718.83,168.38,11771.038,50.16
99,10231,200254.52,1793.78,0,19060.38,2604.58,20.07,108.19,418.48,20.07,168.38,51789.75,258.62,33631.44,33718.83,168.38,11771.038,50.16
100,10231,200254.52,1793.78,0,19060.38,2604.58,20.07,108.19,418.48,20.07,168.38,51789.75,258.62,33631.44,33718.83,168.38,11771.038,50.16
101,10231,200254.52,1793.78,0,19060.38,2604.58,20.07,108.19,418.48,20.07,168.38,51789.75,258.62,33631.44,33718.83,168.38,11771.038,50.16
102,10231,200254.52,1793.78,0,19060.38,2604.58,20.07,108.19,418.48,20.07,168.38,51789.75,258.62,33631.44,33718.83,168.38,11771.038,50.16
103,10231,200254.52,1793.78,0,19060.38,2604.58,20.07,108.19,418.48,20.07,168.38,51789.75,258.62,33631.44,33718.83,168.38,11771.038,50.16
104,10231,200254.52,1793.78,0,19060.38,2604.58,20.07,108.19,418.48,20.07,168.38,51789.75,258.62,33631.44,33718.83,168.38,11771.038,50.16
105,10231,200254.52,1793.78,0,19060.38,2604.58,20.07,108.19,418.48,20.07,168.38,51789.75,258.62,33631.44,33718.83,168.38,11771.038,50.16
106,10231,200254.52,1793.78,0,19060.38,2604.58,20.07,108.19,418.48,20.07,168.38,51789.75,258.62,33631.44,33718.83,168.38,11771.038,50.16
107,10231,200254.52,1793.78,0,19060.38,2604.58,20.07,108.19,418.48,20.07,168.38,51789.75,258.62,33631.44,33718.83,168.38,11771.038,50.16
108,10231,200254.52,1793.78,0,19060.38,2604.58,20.07,108.19,418.48,20.07,168.38,51789.75,258.62,33631.44,33718.83,168.38,11771.038,50.16
109,10231,200254.52,1793.78,0,19060.38,2604.58,20.07,108.19,418.48,20.07,168.38,51789.75,258.62,33631.44,33718.83,168.38,11771.038,50.16
110,10231,200254.52,1793.78,0,19060.38,2604.58,20.07,108.19,418.48,20.07,168.38,51789.75,258.62,33631.44,33718.83,168.38,11771.038,50.16
111,10231,200254.52,1793.78,0,19060.38,2604.58,20.07,108.19,418.48,20.07,168.38,51789.75,258.62,33631.44,33718.83,168.38,11771.038,50.16
112,10231,200254.52,1793.78,0,19060.38,2604.58,20.07,108.19,418.48,20.07,168.38,51789.75,258.62,33631.44,33718.83,168.38,11771.038,50.16
113,10231,200254.52,1793.78,0,19060.38,2604.58,20.07,108.19,418.48,20.07,168.38,51789.75,258.62,33631.44,33718.83,168.38,11771.038,50.16
114,10231,200254.52,1793.78,0,19060.38,2604.58,20.07,108.19,418.48,20.07,168.38,51789.75,258.62,33631.44,33718.83,168.38,11771.038,50.16
115,10231,200254.52,1793.78,0,19060.38,2604.58,20.07,108.19,418.48,20.07,168.38,51789.75,258.62,33631.44,33718.83,168.38,11771.038,50.16
116,10231,200254.52,1793.78,0,19060.38,2604.58,20.07,108.19,418.48,20.07,168.38,51789.75,258.62,33631.44,33718.83,168.38,11771.038,50.16
117,10231,200254.52,1793.78,0,19060.38,2604.58,20.07,108.19,418.48,20.07,168.38,51789.75,258.62,33631.44,33718.83,168.38,11771.038,50.16
118,10231,200254.52,1793.78,0,19060.38,2604.58,20.07,108.19,418.48,20.07,168.38,51789.75,258.62,33631.44,33718.83,168.38,11771.038,50.16
119,10231,200254.52,1793.78,0,19060.38,2604.58,20.07,108.19,418.48,20.07,168.38,51789.75,258.62,33631.44,33718.83,168.38,11771.038,50.16
120,10231,200254.52,1793.78,0,19060.38,2604.58,20.07,108.19,418.48,20.07,168.38,51789.75,258.62,33631.44,33718.83,168.38,11771.038,50.16
121,10231,200254.52,1793.78,0,19060.38,2604.58,20.07,108.19,418.48,20.07,168.38,51789.75,258.62,33631.44,33718.83,168.38,11771.038,50.16
122,10231,200254.52,1793.78,0,19060.38,2604.58,20.07,108.19,418.48,20.07,168.38,51789.75,258.62,33631.44,33718.83,168.38,11771.038,50.16
123,10231,200254.52,1793.78,0,19060.38,2604.58,20.07,108.19,418.48,20.07,168.38,51789.75,258.62,33631.44,33718.83,168.38,11771.038,50.16
124,10231,200254.52,1793.78,0,19060.38,2604.58,20.07,108.19,418.48,20.07,168.38,51789.75,258.62,33631.44,33718.83,168.38,11771.038,50.16
125,10231,200254.52,1793.78,0,19060.38,2604.58,20.07,108.19,418.48,20.07,168.38,51789.75,258.62,33631.44,33718.83,168.38,11771.038,50.16
126,10231,200254.52,1793.78,0,19060.38,2604.58,20.07,108.19,418.48,20.07,168.38,51789.75,258.62,33631.44,33718.83,168.38,11771.038,50.16
127,10231,200254.52,1793.78,0,19060.38,2604.58,20.07,108.19,418.48,20.07,168.38,51789.75,258.62,33631.44,33718.83,168.38,11771.038,50.16
128,10231,200254.52,1793.78,0,19060.38,2604.58,20.07,108.19,418.48,20.07,168.38,51789.75,258.62,33631.44,33718.83,168.38,11771.038,50.16
129,10231,200254.52,1793.78,0,19060.38,2604.58,20.07,108.19,418.48,20.07,168.38,51789.75,258.62,33631.44,33718.83,168.38,11771.038,50.16
130,10231,200254.52,1793.78,0,19060.38,2604.58,20.07,108.19,418.48,20.07,168.38,51789.75,258.62,33631.44,33718.83,168.38,11771.038,50.16
131,10231,200254.52,1793.78,0,19060.38,2604.58,20.07,108.19,418.48,20.07,168.38,51789.75,258.62,33631.44,33718.83,168.38,11771.038,50.16
132,10231,200254.52,1793.78,0,19060.38,2604.58,20.07,108.19,418.48,20.07,168.38,51789.75,258.62,33631.44,33718.83,168.38,11771.038,50.16
133,10231,200254.52,1793.78,0,19060.38,2604.58,20.07,108.19,418.48,20.07,168.38,51789.75,258.62,33631.44,33718.83,168.38,11771.038,50.16
134,10231,200254.52,1793.78,0,19060.38,2604.58,20.07,108.19,418.48,20.07,168.38,51789.75,258.62,33631.44,33718.83,168.38,11771.038,50.16
135,10231,200254.52,1793.78,0,19060.38,2604.58,20.07,108.19,418.48,20.07,168.38,51789.75,258.62,33631.44,33718.83,168.38,11771.038,50.16
136,10231,200254.52,1793.78,0,19060.38,2604.58,20.07,108.19,418.48,20.07,168.38,51789.75,258.62,33631.44,33718.83,168.38,11771.038,50.16
137,10231,200254.52,1793.78,0,19060.38,2604.58,20.07,108.19,418.48,20.07,168.38,51789.75,258.62,33631.44,33718.83,168.38,11771.038,50.16
138,10231,200254.52,1793.78,0,19060.38,2604.58,20.07,108.19,418.48,20.07,168.38,51789.75,258.62,33631.44,33718.83,168.38,11771.038,50.16
139,10250,40985.16,446.31,0,3901,2604.58,25.56,158.73,107.14,25.56,244.31,12896.09,314.65,9925.83,10013.21,244.31,1516.857,79.17
140,10250,40985.16,446.31,0,3901,2604.58,25.56,158.73,107.14,25.56,244.31,12896.09,314.65,9925.83,10013.21,244.31,1516.857,79.17
141,10279,110945.16,1093.13,0,10559.85,2604.58,22.48,118.66,257.52,22.48,190.23,30121.29,271.5,21017.31,21104.69,190.23,6159.097,51.39
142,10279,110945.16,1093.13,0,10559.85,2604.58,22.48,118.66,257.52,22.48,190.23,30121.29,271.5,21017.31,21104.69,190.23,6159.097,51.39
143,10279,110945.16,1093.13,0,10559.85,2604.58,22.48,118.66,257.52,22.48,190.23,30121.29,271.5,21017.31,21104.69,190.23,6159.097,51.39
144,10279,110945.16,1093.13,0,10559.85,2604.58,22.48,118.66,257.52,22.48,190.23,30121.29,271.5,21017.31,21104.69,190.23,6159.097,51.39
145,10279,110945.16,1093.13,0,10559.85,2604.58,22.48,118.66,257.52,22.48,190.23,30121.29,271.5,21017.31,21104.69,190.23,6159.097,51.39
146,10279,110945.16,1093.13,0,10559.85,2604.58,22.48,118.66,257.52,22.48,190.23,30121.29,271.5,21017.31,21104.69,190.23,6159.097,51.39
147,10279,110945.16,1093.13,0,10559.85,2604.58,22.48,118.66,257.52,22.48,190.23,30121.29,271.5,21017.31,21104.69,190.23,6159.097,51.39
148,10279,110945.16,1093.13,0,10559.85,2604.58,22.48,118.66,257.52,22.48,190.23,30121.29,271.5,21017.31,21104.69,190.23,6159.097,51.39
149,10279,110945.16,1093.13,0,10559.85,2604.58,22.48,118.66,257.52,22.48,190.23,30121.29,271.5,21017.31,21104.69,190.23,6159.097,51.39
150,10279,110945.16,1093.13,0,10559.85,2604.58,22.48,118.66,257.52,22.48,190.23,30121.29,271.5,21017.31,21104.69,190.23,6159.097,51.39
151,10279,110945.16,1093.13,0,10559.85,2604.58,22.48,118.66,257.52,22.48,190.23,30121.29,271.5,21017.31,21104.69,190.23,6159.097,51.39
152,10279,110945.16,1093.13,0,10559.85,2604.58,22.48,118.66,257.52,22.48,190.23,30121.29,271.5,21017.31,21104.69,190.23,6159.097,51.39
153,10279,110945.16,1093.13,0,10559.85,2604.58,22.48,118.66,257.52,22.48,190.23,30121.29,271.5,21017.31,21104.69,190.23,6159.097,51.39
154,10279,110945.16,1093.13,0,10559.85,2604.58,22.48,118.66,257.52,22.48,190.23,30121.29,271.5,21017.31,21104.69,190.23,6159.097,51.39
155,10279,110945.16,1093.13,0,10559.85,2604.58,22.48,118.66,257.52,22.48,190.23,30121.29,271.5,21017.31,21104.69,190.23,6159.097,51.39
156,10279,110945.16,1093.13,0,10559.85,2604.58,22.48,118.66,257.52,22.48,190.23,30121.29,271.5,21017.31,21104.69,190.23,6159.097,51.39
157,10279,110945.16,1093.13,0,10559.85,2604.58,22.48,118.66,257.52,22.48,190.23,30121.29,271.5,21017.31,21104.69,190.23,6159.097,51.39
158,10279,110945.16,1093.13,0,10559.85,2604.58,22.48,118.66,257.52,22.48,190.23,30121.29,271.5,21017.31,21104.69,190.23,6159.097,51.39
159,10279,110945.16,1093.13,0,10559.85,2604.58,22.48,118.66,257.52,22.48,190.23,30121.29,271.5,21017.31,21104.69,190.23,6159.097,51.39
160,10279,110945.16,1093.13,0,10559.85,2604.58,22.48,118.66,257.52,22.48,190.23,30121.29,271.5,21017.31,21104.69,190.23,6159.097,51.39
161,10279,110945.16,1093.13,0,10559.85,2604.58,22.48,118.66,257.52,22.48,190.23,30121.29,271.5,21017.31,21104.69,190.23,6159.097,51.39
162,10279,110945.16,1093.13,0,10559.85,2604.58,22.48,118.66,257.52,22.48,190.23,30121.29,271.5,21017.31,21104.69,190.23,6159.097,51.39
163,10279,110945.16,1093.13,0,10559.85,2604.58,22.48,118.66,257.52,22.48,190.23,30121.29,271.5,21017.31,21104.69,190.23,6159.097,51.39
164,10279,110945.16,1093.13,0,10559.85,2604.58,22.48,118.66,257.52,22.48,190.23,30121.29,271.5,21017.31,21104.69,190.23,6159.097,51.39
165,10279,110945.16,1093.13,0,10559.85,2604.58,22.48,118.66,257.52,22.48,190.23,30121.29,271.5,21017.31,21104.69,190.23,6159.097,51.39
166,10279,110945.16,1093.13,0,10559.85,2604.58,22.48,118.66,257.52,22.48,190.23,30121.29,271.5,21017.31,21104.69,190.23,6159.097,51.39
167,10279,110945.16,1093.13,0,10559.85,2604.58,22.48,118.66,257.52,22.48,190.23,30121.29,271.5,21017.31,21104.69,190.23,6159.097,51.39
168,10279,110945.16,1093.13,0,10559.85,2604.58,22.48,118.66,257.52,22.48,190.23,30121.29,271.5,21017.31,21104.69,190.23,6159.097,51.39
169,10279,110945.16,1093.13,0,10559.85,2604.58,22.48,118.66,257.52,22.48,190.23,30121.29,271.5,21017.31,21104.69,190.23,6159.097,51.39
170,10279,110945.16,1093.13,0,10559.85,2604.58,22.48,118.66,257.52,22.48,190.23,30121.29,271.5,21017.31,21104.69,190.23,6159.097,51.39
171,10279,110945.16,1093.13,0,10559.85,2604.58,22.48,118.66,257.52,22.48,190.23,30121.29,271.5,21017.31,21104.69,190.23,6159.097,51.39
172,103,2087.29,74.62,781.88,194.48,106.87,434.26,144.37,0,434.26,24.43,1459.2,699.09,10.68,51,24.43,695.254,7.11
173,103,2087.29,74.62,781.88,194.48,106.87,434.26,144.37,0,434.26,24.43,1459.2,699.09,10.68,51,24.43,695.254,7.11
