OBJECTID,ID,BLDGID,SSR,TOPELEV_M,MED_SLOPE,BASEELEV_M,HGT_AGL,ROOFTYPE,AREA_M2,AVGHT_M,MINHT_M,MAXHT_M,BASE_M,LEN,WID,ORIENT8,Shape_Leng,Shape_Area
23,231568,2868,41,186.9,14,181.23,5.67,Flat,917.623,6.75,-0.01,13.84,181.56,47.51,25.08,1.1,54.1288746045,164.609715186
24,231569,11,42,189.46,26,180.71,8.75,Pitched,188.573,8.94,3.12,11.09,180.88,22.31,8.45,0,61.5274,188.572944364
25,231570,257,42,195.08,33,180.61,14.47,Pitched,846.424,20.9,2.42,37.58,180.78,36.99,30.48,0.49,56.7664548508,188.76153767
26,231571,1580,42,222.41,31,180.8,41.61,Pitched,1989.374,36.29,-0.01,57.62,180.85,90.35,22.02,0.43,57.4667125225,203.481876637
27,231572,8440,41,199.1,1,180.9,18.2,Flat,5793.263,91.13,0,167.64,181.03,98.43,58.86,0.95,66.4110708383,273.641758297
28,231573,8440,42,263.34,0,180.9,82.44,Pitched,5793.263,91.13,0,167.64,181.03,98.43,58.86,0.95,66.4632769302,274.038291354
29,231574,91,41,195.89,6,180.89,15,Flat,2844.93,75.18,2.16,92.23,180.95,70.21,40.52,0.89,68.8795424895,276.063669867
30,231575,1574,41,235.48,2,180.73,54.75,Flat,1673.62,49.22,3.97,56.11,180.89,56.16,29.8,0.43,70.915490282,311.907729299
31,231576,5187,41,230.42,7,181,49.42,Flat,2612.351,54.32,0.1,82.83,180.97,120.25,21.72,0.52,131.886050276,326.299631554
32,231577,9257,41,297.38,6,180.69,116.69,Flat,3654.4,96.17,0,117.29,180.94,65.94,55.42,1.12,77.1788317165,366.357657519
33,231676,7192,41,302.8,5,177.85,124.95,Flat,2218.876,116.57,0,154.35,180.77,52.52,50.44,11.05,161.524589562,1108.70955672
34,231737,7192,999,327.4,20,178.01,149.39,Complex,2218.876,116.57,0,154.35,180.77,52.52,50.44,11.05,183.911193877,961.727928817
35,232254,78,42,196.01,46,181.92,14.09,Pitched,1992.609,15.6,0,22.96,182.11,62.1,61.19,0.65,20.9433660295,23.7463316812
36,232255,10231,41,250.48,8,181.17,69.31,Flat,11771.038,50.16,0,85.8,181.19,121.54,100.89,0,25.2688000016,39.5963210847
37,232256,9620,41,269.92,7,181.12,88.8,Flat,2821.705,79.75,-2.39,93.55,181.13,56.04,50.35,1.1,27.8862190638,45.1879758376
38,232257,7319,999,224.74,21,180.99,43.75,Complex,5950.014,39.37,0,85.39,181.11,121.66,52.34,0.32,29.9908560966,48.1504386552
39,232258,668,41,220.98,9,181.04,39.94,Flat,6539.624,30.01,0,54.64,180.9,226.24,30.68,0.47,29.9494021245,51.3309985107
40,232259,49,42,196.44,29,182.04,14.4,Pitched,1927.37,15.46,0,22.42,182.04,61.2,60.8,0.65,28.7419773205,51.5503923399
41,232260,10231,42,256.75,19,181.12,75.63,Pitched,11771.038,50.16,0,85.8,181.19,121.54,100.89,0,30.6586000007,58.7448660025
42,232261,1574,41,233.26,4,180.58,52.68,Flat,1673.62,49.22,3.97,56.11,180.89,56.16,29.8,0.43,31.5959866283,62.155478006
43,232262,122,41,221.57,10,176.01,45.56,Flat,10604.355,26.98,0,57.3,177.87,143.89,109.92,2.08,34.437901987,71.3245191749
44,232263,8402,41,332.43,6,181,151.43,Flat,2154.495,158.01,0,179.25,181.14,58.38,36.91,0.53,35.7832210216,75.0333025694
45,233898,11677,41,271.5,1,180,91.5,Flat,7171.177,86.31,-0.03,177.07,180.95,121.66,65.15,-1.7,158.92212549,1204.51831772
46,234119,603,41,243.65,5,181.12,62.53,Flat,11833.288,43.17,0,86.81,181.21,121.66,109.37,0.17,40.6495800879,81.3065776776
47,234120,998,42,228.62,45,180.84,47.78,Pitched,927.102,51.04,0.03,61.09,180.91,31.11,29.8,0.43,65.7505445465,91.5824611559
48,234121,10231,41,248.21,15,181.13,67.08,Flat,11771.038,50.16,0,85.8,181.19,121.54,100.89,0,47.0048000012,96.4916998034
49,234192,620,41,195.56,2,177.83,17.73,Flat,48478.522,24.34,-0.64,43.78,178.29,236.06,230.05,0.87,245.859047208,2346.58738923
50,234193,620,41,208.58,1,180.08,28.5,Flat,48478.522,24.34,-0.64,43.78,178.29,236.06,230.05,0.87,233.604451693,2716.48095612
51,234257,10102,41,344.06,3,179.02,165.04,Flat,7588.584,125.31,-0.43,164.53,182.29,121.11,64.47,-0.21,189.221533772,2526.32811851
52,234258,10102,41,343.97,3,182.5,161.47,Flat,7588.584,125.31,-0.43,164.53,182.29,121.11,64.47,-0.21,191.656982581,2599.46991792
53,234259,32,42,193.27,42,180.91,12.36,Pitched,1919.564,15.57,2.61,22.2,182.14,61.88,60.51,0.32,19.8968101854,22.6790224927
54,234260,998,999,229.3,19,180.83,48.47,Complex,927.102,51.04,0.03,61.09,180.91,31.11,29.8,0.43,20.4037721549,25.7920305765
55,234364,1449,42,216.25,48,180.87,35.38,Pitched,410.306,30.61,4.54,44.41,181.09,28.25,14.53,0,23.966599999,35.8585591571
56,234365,655,41,218.85,14,180.68,38.17,Flat,6267.38,53.52,0,108.58,180.87,206.82,31.62,0.74,24.1285481592,36.3424790082
57,234366,78,41,191.07,7,181.27,9.8,Flat,1992.609,15.6,0,22.96,182.11,62.1,61.19,0.65,26.746847039,44.3209069599
58,234367,32,999,190.64,18,180.8,9.84,Complex,1919.564,15.57,2.61,22.2,182.14,61.88,60.51,0.32,28.7940489977,51.1980879557
59,234368,32,42,190.66,19,181.34,9.32,Pitched,1919.564,15.57,2.61,22.2,182.14,61.88,60.51,0.32,29.1730553736,52.4127784836
60,234369,1779,41,239.14,7,181.61,57.53,Flat,9014.854,28.02,-0.01,60.26,181.36,121.65,116.28,0.17,32.2722430859,64.9208064661
61,234377,131,42,198.83,32,180.59,18.25,Pitched,943.41,52.82,2.94,62.55,180.61,32.03,31.9,0.69,18.8056161316,20.6687100335
62,234379,32,42,195.85,46,181.86,13.99,Pitched,1919.564,15.57,2.61,22.2,182.14,61.88,60.51,0.32,22.0492447515,26.4861117247
63,234427,78,42,193.36,20,181.13,12.23,Pitched,1992.609,15.6,0,22.96,182.11,62.1,61.19,0.65,18.7639260701,20.1276823595
64,234428,78,42,198.93,51,182.45,16.49,Pitched,1992.609,15.6,0,22.96,182.11,62.1,61.19,0.65,20.3971308448,22.8393856413
65,234429,10231,999,247.58,17,181.11,66.47,Complex,11771.038,50.16,0,85.8,181.19,121.54,100.89,0,24.1497999988,36.3725424367
66,234430,668,42,231.89,35,180.59,51.3,Pitched,6539.624,30.01,0,54.64,180.9,226.24,30.68,0.47,25.3743500733,40.0815115996
67,234445,11682,41,264.73,10,181,83.73,Flat,3237.333,67.91,-0.01,92.77,181.24,73,57.23,0.51,291.596375083,1826.66596941
68,234448,74,41,218.64,14,181.2,37.44,Flat,1560.947,24.99,0.07,42.82,181.02,40.39,39.48,0.89,18.3867260118,18.7871716328
69,234449,49,42,199.04,44,181.78,17.26,Pitched,1927.37,15.46,0,22.42,182.04,61.2,60.8,0.65,21.8919309398,27.9143037043
70,234450,49,42,195.92,37,181.56,14.36,Pitched,1927.37,15.46,0,22.42,182.04,61.2,60.8,0.65,22.3510592463,28.8427282626
71,234451,9193,42,339.12,25,180.87,158.25,Pitched,9806.588,135.97,0,288.44,181.05,119.83,97.46,0.42,25.5414904304,40.7192723831
72,234452,78,41,190.97,13,181,9.97,Flat,1992.609,15.6,0,22.96,182.11,62.1,61.19,0.65,27.7372115074,47.3222410819
73,234453,6281,42,187.98,42,178.5,9.48,Pitched,2572.056,21.89,0,35.13,180.91,54.71,49.12,0.42,40.7500692556,48.7781866356
74,234454,32,41,195.87,8,182.36,13.51,Flat,1919.564,15.57,2.61,22.2,182.14,61.88,60.51,0.32,29.7724638941,55.1050084827
75,234455,32,42,195.95,28,182.17,13.78,Pitched,1919.564,15.57,2.61,22.2,182.14,61.88,60.51,0.32,30.1517708267,56.4136833057
76,234456,10231,41,247.52,11,181.21,66.31,Flat,11771.038,50.16,0,85.8,181.19,121.54,100.89,0,26.8313999958,44.7027328865
77,234457,9307,42,246.23,0,181.17,65.06,Pitched,10176.777,58.78,-0.01,101.1,181.14,123.61,107.22,0.46,28.6230313421,47.20299168
78,234458,78,42,193.85,30,182.06,11.79,Pitched,1992.609,15.6,0,22.96,182.11,62.1,61.19,0.65,28.9262892819,52.2891409629
79,234459,49,999,190.89,23,180.69,10.2,Complex,1927.37,15.46,0,22.42,182.04,61.2,60.8,0.65,30.082665767,56.3859067511
80,234460,32,42,193.28,37,181.81,11.47,Pitched,1919.564,15.57,2.61,22.2,182.14,61.88,60.51,0.32,31.3256888202,61.2124973744
81,234461,5160,41,270.73,4,180.72,90.01,Flat,3569.965,50.42,5.64,95.48,180.86,120.24,29.69,0.52,31.7604121608,62.7207608253
82,234462,8402,41,332.43,6,181,151.43,Flat,2154.495,158.01,0,179.25,181.14,58.38,36.91,0.53,32.7593773483,64.9700032863
83,234463,9620,42,271.42,37,181.14,90.29,Pitched,2821.705,79.75,-2.39,93.55,181.13,56.04,50.35,1.1,35.4060883605,68.0989645147
84,234464,7236,42,266.08,39,180.88,85.2,Pitched,2008.411,88.59,-0.39,161.86,181.04,53.03,37.88,0.95,34.1703664382,71.6233398245
85,234465,88,999,219,16,180.7,38.3,Complex,5994.231,16.52,0,39.62,180.97,121.94,49.37,0.89,36.8514612541,74.3699369796
86,234466,10231,41,249.23,4,181.09,68.14,Flat,11771.038,50.16,0,85.8,181.19,121.54,100.89,0,36.8274000008,83.3310027225
87,234467,56,41,291.76,6,180.73,111.03,Flat,11605.697,36.98,0,131.47,180.98,131.29,109.82,0.78,40.2200488156,84.396173055
88,234482,1779,41,239.76,13,181.35,58.41,Flat,9014.854,28.02,-0.01,60.26,181.36,121.65,116.28,0.17,23.7273050344,32.4498297687
89,234483,10231,41,253.61,14,181.1,72.51,Flat,11771.038,50.16,0,85.8,181.19,121.54,100.89,0,24.5258000009,37.560176043
90,234484,1779,41,239.4,2,181.31,58.09,Flat,9014.854,28.02,-0.01,60.26,181.36,121.65,116.28,0.17,26.0801154479,40.9623410359
91,234485,655,42,218.79,42,180.71,38.08,Pitched,6267.38,53.52,0,108.58,180.87,206.82,31.62,0.74,27.501892441,46.4978891371
92,234486,78,42,196.26,33,182.45,13.81,Pitched,1992.609,15.6,0,22.96,182.11,62.1,61.19,0.65,28.3800540991,50.292056544
93,234488,78,42,196.23,21,182.28,13.95,Pitched,1992.609,15.6,0,22.96,182.11,62.1,61.19,0.65,29.3706185547,53.6985794603
94,234489,49,42,193.42,34,181.07,12.35,Pitched,1927.37,15.46,0,22.42,182.04,61.2,60.8,0.65,30.1379678704,56.6054527611
95,234490,122,41,221.55,9,176.21,45.34,Flat,10604.355,26.98,0,57.3,177.87,143.89,109.92,2.08,30.9177868113,56.8967954547
96,234491,91,999,271.39,19,180.61,90.78,Complex,2844.93,75.18,2.16,92.23,180.95,70.21,40.52,0.89,31.214380564,60.6016652191
97,234492,5160,41,221.88,3,180.79,41.09,Flat,3569.965,50.42,5.64,95.48,180.86,120.24,29.69,0.52,31.7937135088,60.7211947638
98,234493,7236,42,267.38,24,180.98,86.4,Pitched,2008.411,88.59,-0.39,161.86,181.04,53.03,37.88,0.95,31.9277628466,63.5537653191
99,234494,1779,41,203,3,181.42,21.58,Flat,9014.854,28.02,-0.01,60.26,181.36,121.65,116.28,0.17,34.2428516153,70.1559743289
100,234495,74,41,216.39,14,181,35.39,Flat,1560.947,24.99,0.07,42.82,181.02,40.39,39.48,0.89,36.726648352,78.0891062593
101,234508,122,41,221.57,5,175.99,45.58,Flat,10604.355,26.98,0,57.3,177.87,143.89,109.92,2.08,33.1750419735,63.0861014313
102,234509,122,42,216.36,36,176.35,40.01,Pitched,10604.355,26.98,0,57.3,177.87,143.89,109.92,2.08,35.2414305328,68.6067287211
103,234510,668,42,230.96,20,180.78,50.18,Pitched,6539.624,30.01,0,54.64,180.9,226.24,30.68,0.47,35.6740942416,69.7385929629
104,234512,122,41,227.38,13,175.98,51.4,Flat,10604.355,26.98,0,57.3,177.87,143.89,109.92,2.08,38.228009706,74.7235258044
105,235200,10102,41,222.95,2,177,45.95,Flat,7588.584,125.31,-0.43,164.53,182.29,121.11,64.47,-0.21,260.681641504,2462.78616354
106,235202,115,42,216.46,46,181.17,35.29,Pitched,3083.604,14.39,0.67,40.09,181.24,60.49,55.01,0.89,18.4676364486,21.2206544576
107,235203,71,42,211.57,39,181.08,30.49,Pitched,1175.771,23.84,-0.03,31.33,181.1,40.61,31.12,0.89,20.8541232831,26.3002835686
108,235204,10231,999,250.43,18,181.19,69.24,Complex,11771.038,50.16,0,85.8,181.19,121.54,100.89,0,23.4415999968,32.4238465084
109,235205,88,41,219.87,3,180.81,39.06,Flat,5994.231,16.52,0,39.62,180.97,121.94,49.37,0.89,24.9169164338,37.7278218138
110,235206,10231,42,266.33,41,181.21,85.12,Pitched,11771.038,50.16,0,85.8,181.19,121.54,100.89,0,25.6456000004,41.0276499614
111,235208,603,41,263.74,2,181.18,82.56,Flat,11833.288,43.17,0,86.81,181.21,121.66,109.37,0.17,28.0662242108,49.1994692882
112,235209,49,42,190.9,25,181.3,9.6,Pitched,1927.37,15.46,0,22.42,182.04,61.2,60.8,0.65,29.1457023823,53.0583212971
113,235210,49,42,193.64,32,181.9,11.74,Pitched,1927.37,15.46,0,22.42,182.04,61.2,60.8,0.65,29.2011056249,53.2652339057
114,235211,5113,41,236.66,5,180.75,55.91,Flat,7259.106,33.97,0,56.33,180.88,119.45,98.78,0.53,37.6031808435,60.6766064158
115,235298,10231,41,232.5,12,181.06,51.44,Flat,11771.038,50.16,0,85.8,181.19,121.54,100.89,0,71.3160000015,210.954428684
116,235299,1779,999,198.25,26,181.39,16.86,Complex,9014.854,28.02,-0.01,60.26,181.36,121.65,116.28,0.17,90.4040002105,232.335418837
117,235300,211,41,239.79,14,181.01,58.78,Flat,13281.396,46.53,0,107.24,181.06,121.21,110.02,0.8,93.2995949489,249.810819909
118,235301,8440,41,272.8,3,180.74,92.06,Flat,5793.263,91.13,0,167.64,181.03,98.43,58.86,0.95,73.9634070082,293.717832187
119,235302,1586,42,192.86,25,180.76,12.11,Pitched,1827.49,26.71,-0.01,56.9,180.99,90.01,20.3,0.22,69.9041943659,297.420373827
120,235303,329702,41,354.54,12,181.07,173.47,Flat,5851.891,112.41,-0.01,179.27,181.22,121.44,52.62,0.42,76.2653935122,362.045148792
121,235422,655,41,192.69,4,180.74,11.95,Flat,6267.38,53.52,0,108.58,180.87,206.82,31.62,0.74,74.6998572756,209.546723405
122,235559,56,41,214.36,12,180.75,33.61,Flat,11605.697,36.98,0,131.47,180.98,131.29,109.82,0.78,27.0452584356,45.1294148689
123,235560,3372,42,218.57,24,180.88,37.69,Pitched,3446.105,39.43,0,68.57,180.83,110.65,31.14,0.57,27.8983041356,48.1327548951
124,235561,998,41,240.71,2,180.86,59.85,Flat,927.102,51.04,0.03,61.09,180.91,31.11,29.8,0.43,29.828537334,51.835626609
125,235562,56,42,287.31,31,180.77,106.54,Pitched,11605.697,36.98,0,131.47,180.98,131.29,109.82,0.78,32.6898511759,55.5850416862
126,235563,603,41,245.04,4,181.01,64.04,Flat,11833.288,43.17,0,86.81,181.21,121.66,109.37,0.17,29.9403322837,55.6193569711
127,235564,78,41,193.71,13,181.77,11.94,Flat,1992.609,15.6,0,22.96,182.11,62.1,61.19,0.65,29.9167526019,55.8305260877
128,235565,603,41,232.98,4,181.16,51.82,Flat,11833.288,43.17,0,86.81,181.21,121.66,109.37,0.17,31.1921380452,58.1000022286
129,235566,10108,42,219.69,47,181,38.69,Pitched,5009.883,30.27,0,39.22,181.1,97.78,57.5,-0.21,33.2301280129,64.4196826687
130,235567,668,42,216.93,27,180.6,36.33,Pitched,6539.624,30.01,0,54.64,180.9,226.24,30.68,0.47,35.2984822691,64.6985039741
131,235568,1779,41,239.97,4,181.5,58.47,Flat,9014.854,28.02,-0.01,60.26,181.36,121.65,116.28,0.17,34.0112508577,71.5698247795
132,235569,1623,42,224.31,43,180.76,43.55,Pitched,5806.86,38.41,-2.89,60.75,180.88,92,65.92,1.13,45.8513789501,90.6278061997
133,235570,9420,41,184.1,12,179.94,4.16,Flat,94.468,3.48,0,4.97,180.41,11.39,8.29,0.5,39.3680994794,94.4678835651
134,235571,10231,41,249.22,3,181.08,68.14,Flat,11771.038,50.16,0,85.8,181.19,121.54,100.89,0,44.9640000034,98.3198789304
135,235596,10953,41,270.76,2,181.06,89.7,Flat,4700.736,80.56,-0.01,104.01,181.17,96.87,48.53,-0.43,38.3948696831,73.935179097
136,235597,23,42,188.8,30,180.41,8.39,Pitched,92.304,7.6,2.22,8.48,180.49,15.4,6,0.97,42.7895587232,92.3038811579
137,235598,6855,41,198.12,8,181.05,17.07,Flat,96.48,15.02,3.13,27.71,181.18,16.6,5.81,0.55,44.8274451697,96.4802019204
138,235599,39,42,189.49,36,180.71,8.78,Pitched,106.506,8.79,2.53,11.04,180.79,21,5.07,0,52.1486000009,106.506141072
139,235600,31,42,188.79,26,180.45,8.34,Pitched,107.092,6.94,1.04,9.25,180.54,15.59,6.87,1.2,44.9231544955,107.092384313
140,235647,998,42,224.65,30,180.85,43.8,Pitched,927.102,51.04,0.03,61.09,180.91,31.11,29.8,0.43,66.6558693348,105.071080744
141,235648,122,41,227.38,16,176.85,50.52,Flat,10604.355,26.98,0,57.3,177.87,143.89,109.92,2.08,45.8323292628,111.068962561
142,235658,122,42,219.12,23,175.98,43.14,Pitched,10604.355,26.98,0,57.3,177.87,143.89,109.92,2.08,36.4532009398,78.3824694732
143,235659,49,999,201.54,16,181.01,20.53,Complex,1927.37,15.46,0,22.42,182.04,61.2,60.8,0.65,38.6560258958,80.6640203317
144,235660,10953,41,277.05,13,181.17,95.88,Flat,4700.736,80.56,-0.01,104.01,181.17,96.87,48.53,-0.43,37.6056468851,83.7839377546
145,235661,48,41,188.89,4,180.5,8.39,Flat,89.921,7.48,2.91,9.43,180.61,15.21,5.91,0.66,42.2461611578,89.9212733559
146,235662,1580,41,227.33,4,180.78,46.55,Flat,1989.374,36.29,-0.01,57.62,180.85,90.35,22.02,0.43,40.8019444629,98.0107636783
147,235663,5152,41,186.22,7,180.93,5.29,Flat,3602.9,72.49,0,111.06,180.87,119.51,32.3,0.52,44.0332186668,98.0581654081
148,235664,3476,41,223.85,2,181.09,42.76,Flat,5394.175,38.81,1.49,46.43,181.15,121.55,44.38,0.46,46.3902246063,111.169251366
149,235665,7297,999,270.26,16,181,89.26,Complex,5127.439,44.64,-0.01,93.68,180.98,121.09,43.36,0.32,43.5172355831,111.24547667
150,235666,603,999,256.74,24,181.17,75.57,Complex,11833.288,43.17,0,86.81,181.21,121.66,109.37,0.17,67.2228975192,124.26064477
151,235667,3372,41,223.26,7,180.76,42.5,Flat,3446.105,39.43,0,68.57,180.83,110.65,31.14,0.57,47.8045068652,124.672970403
152,235668,10,41,185.08,2,181.26,3.82,Flat,141.141,3.73,2.34,4.58,181.34,21.97,6.42,0,56.7941999994,141.141199402
153,235669,114,42,287.41,32,181.02,106.39,Pitched,2390.432,52.12,0,118.84,181.07,49.16,48.63,0.8,55.703030609,149.563143192
154,235670,11619,41,237.15,4,181.04,56.11,Flat,5345.009,46.25,0.49,103.76,181.11,99.06,56.15,0.17,50.1909208687,156.860953495
155,235696,5133,41,272.9,2,180.94,91.96,Flat,33622.203,46.17,0,179.81,180.58,587.05,143.72,0.4,67.9844304026,251.74144849
156,235697,665,41,201.22,3,180.84,20.38,Flat,7142.746,38.79,0,96.24,180.91,240.38,29.8,0.49,64.7683437866,257.537992492
157,235698,665,999,238.94,19,181.07,57.87,Complex,7142.746,38.79,0,96.24,180.91,240.38,29.8,0.49,92.6231537553,260.831322444
158,235699,141,41,198.99,1,180.86,18.13,Flat,3338.429,32.22,0,84.48,180.92,86.15,43.55,-0.23,70.4992055941,305.144120124
159,235700,8440,41,272.82,3,180.76,92.06,Flat,5793.263,91.13,0,167.64,181.03,98.43,58.86,0.95,75.7322480416,310.394739063
160,235852,665,41,247.96,3,180.95,67.01,Flat,7142.746,38.79,0,96.24,180.91,240.38,29.8,0.49,35.378581326,78.2253669775
161,235853,56,41,186,1,180.57,5.43,Flat,11605.697,36.98,0,131.47,180.98,131.29,109.82,0.78,38.2954451286,82.2846696372
162,235855,9307,42,271.09,40,181.15,89.95,Pitched,10176.777,58.78,-0.01,101.1,181.14,123.61,107.22,0.46,42.5892852582,92.582125145
163,235856,115,42,216.5,38,181.45,35.05,Pitched,3083.604,14.39,0.67,40.09,181.24,60.49,55.01,0.89,47.3967365929,95.7374828146
164,235857,603,41,227.79,5,181.12,46.67,Flat,11833.288,43.17,0,86.81,181.21,121.66,109.37,0.17,49.4393188391,95.8819386275
165,235858,30,999,183.95,17,180.59,3.36,Complex,101.029,3.2,2.76,3.52,180.7,22.99,4.39,0,54.7659999989,101.028541356
166,235859,38,42,189.6,37,180.74,8.86,Pitched,106.506,8.9,1.98,11.18,180.82,21,5.07,0,52.1485999972,106.506141033
167,235860,78,999,201.67,26,181,20.67,Complex,1992.609,15.6,0,22.96,182.11,62.1,61.19,0.65,43.5868473193,107.407515955
168,235861,56,999,254.95,18,180.83,74.12,Complex,11605.697,36.98,0,131.47,180.98,131.29,109.82,0.78,51.9638880169,129.782693342
169,235862,10231,41,228.85,10,181.17,47.68,Flat,11771.038,50.16,0,85.8,181.19,121.54,100.89,0,53.4555999972,133.565697109
170,235863,33,999,183.81,17,180.61,3.2,Complex,143.77,3.1,2.45,3.56,180.7,25.02,5.75,0,61.5272000004,143.770400192
171,235864,1623,41,229.86,3,180.87,48.99,Flat,5806.86,38.41,-2.89,60.75,180.88,92,65.92,1.13,48.9130728113,143.819329958
172,235865,116,41,233.87,1,181.17,52.7,Flat,4232.31,27.04,-0.02,53.92,181.15,88.92,50.4,0.89,62.6236826564,160.170507113
173,235866,1534,42,196.95,33,180.95,16,Pitched,2553.231,42.51,0,62.3,180.92,83.89,30.43,0.43,55.5745584906,172.769175949
174,235867,10231,41,264.34,7,181.22,83.12,Flat,11771.038,50.16,0,85.8,181.19,121.54,100.89,0,63.9360000007,183.302728171
175,235868,3372,42,196.03,19,180.88,15.15,Pitched,3446.105,39.43,0,68.57,180.83,110.65,31.14,0.57,64.7620580098,189.876013005
176,235869,7319,41,225.05,10,181.01,44.04,Flat,5950.014,39.37,0,85.39,181.11,121.66,52.34,0.32,63.8080681622,191.66678822
177,235870,1779,41,189.41,3,181.38,8.03,Flat,9014.854,28.02,-0.01,60.26,181.36,121.65,116.28,0.17,61.9550744223,202.328060302
178,235871,668,41,187.09,11,180.73,6.36,Flat,6539.624,30.01,0,54.64,180.9,226.24,30.68,0.47,73.4488589015,214.425118509
179,235872,11608,42,318.81,38,181,137.81,Pitched,2689.031,110.35,0.32,146.97,181.08,54.9,54,-0.43,117.434769528,214.87511754
180,235873,211,41,267.87,1,181.08,86.79,Flat,13281.396,46.53,0,107.24,181.06,121.21,110.02,0.8,66.7918125597,248.162992377
181,235874,668,41,191.39,12,180.71,10.68,Flat,6539.624,30.01,0,54.64,180.9,226.24,30.68,0.47,76.5143608447,259.551049058
182,235909,11140,41,186.92,18,180.91,6.01,Flat,93.593,5.01,0.77,6.01,181.03,12.91,7.25,0.2,40.3196451486,93.5930673339
183,235993,11677,42,346.08,52,180,166.08,Pitched,7171.177,86.31,-0.03,177.07,180.95,121.66,65.15,-1.7,157.116431455,1206.64578258
184,236099,1623,999,226.92,15,180.87,46.05,Complex,5806.86,38.41,-2.89,60.75,180.88,92,65.92,1.13,56.0182482813,166.972622066
185,236100,10108,41,218.78,5,180.94,37.84,Flat,5009.883,30.27,0,39.22,181.1,97.78,57.5,-0.21,57.9900981919,169.3810096
186,236101,21,42,189.48,26,180.81,8.67,Pitched,188.571,9.1,6.64,11.08,180.88,22.31,8.45,0,61.5271999985,188.570713124
187,236102,24,42,189.58,33,180.78,8.8,Pitched,188.573,8.73,2.88,11.13,180.92,22.31,8.45,0,61.5273999963,188.572944322
188,236103,323,41,197.56,4,181,16.56,Flat,907.362,9.17,1.1,17.63,181.16,30.57,29.68,0.47,74.1667831449,219.709405689
