BLDGID,Area,Cool_Elec,Heat_Elec,IN_light_Elec,OUT_light_Elec,HVAC_Intensity,Light_Intensity,Heat_rejection,HVAC_Elec_Intensity,HVAC_Ngas_Intensity,Total_Elec,Total_Elec_Intensity,Heat_NatG,Total_NatG,Total_NatG_Intensity
11637,140876.45,1352.05,0,13408.73,2604.58,21.9,113.67,321.11,21.9,195.11,37462.79,265.93,27399.18,27486.57,195.11
11640,37398.57,453.77,0,3559.63,2604.58,28.57,164.82,107.73,28.57,250.58,12107.98,323.76,9283.82,9371.2,250.58
11677,208116.18,1973.46,0,19808.66,2604.58,21.34,107.7,459.03,21.34,173.97,53984.22,259.39,36119.48,36206.87,173.97
11678,16613.54,233.65,0,1581.29,2604.58,33.97,251.96,92.92,33.97,257.96,6916,416.29,4198.19,4285.57,257.96
11682,74513.09,753.59,0,7092.22,2604.58,23.28,130.14,177.34,23.28,208.47,21145.1,283.78,15446.11,15533.49,208.47
11851,122.03,15.32,100.1,11.37,106.87,977.28,969.01,0,977.28,330.64,252.2,2066.75,0.08,40.35,330.64
11967,148.19,17.1,121.08,13.81,106.87,964.8,814.37,0,964.8,272.11,281.51,1899.64,0.05,40.32,272.11
12,754.84,34.86,272.35,70.33,106.87,420.89,234.76,0,420.89,61.74,585.84,776.11,6.33,46.6,61.74
12017,193.29,12.3,86.02,18.01,106.87,526.96,646.1,0,526.96,211.89,250.02,1293.51,0.69,40.96,211.89
121,14006.31,313.92,2458.84,1304.99,106.87,209.15,100.8,0,209.15,45.48,6028.53,430.42,499.47,637.05,45.48
122,107087.96,1459.9,7231.97,9977.52,106.87,87.32,94.17,0,87.32,69.45,32335.11,301.95,6816.16,7437.76,69.45
123,17997.97,230.99,0,1713.06,2604.58,30.95,239.9,92.69,30.95,239.95,7220.81,401.2,4231.28,4318.67,239.95
12377,139.38,15.56,103.62,12.99,106.87,885.31,859.94,0,885.31,289.35,260.05,1865.71,0.06,40.33,289.35
124,29402.38,589.4,5067.94,2739.46,106.87,202.93,96.81,0,202.93,45.42,12354.81,420.2,1060.74,1335.46,45.42
125,15654.25,280.05,1744.56,1458.53,106.87,137.72,100,0,137.72,60.25,5607.07,358.18,791.12,943.21,60.25
12571,107374.93,1053.22,0,10220.03,2604.58,22.92,119.44,255.42,22.92,232,29283.26,272.72,24823.97,24911.35,232
12579,822.41,20.21,333.36,76.62,106.87,444.45,223.12,0,444.45,55.16,648.08,788.03,5.09,45.36,55.16
12584,600.72,14.55,192.13,55.97,106.87,356.68,271.08,0,356.68,78.23,449.47,748.22,6.72,46.99,78.23
12593,107576.88,1006.53,0,10239.25,2604.58,21.16,119.39,237.47,21.16,183.44,29143.34,270.91,19646.35,19733.74,183.44
126,615.25,40.25,272.95,57.32,106.87,527.76,266.88,0,527.76,69.1,563.02,915.1,2.24,42.51,69.1
12604,76629.56,794.33,0,7293.66,2604.58,23.86,129.17,186.5,23.86,205.88,21715.48,283.38,15689.33,15776.72,205.88
131,16993.83,340.28,2793.73,1583.34,106.87,195.05,99.46,0,195.05,49.34,7051.99,414.97,674.61,838.52,49.34
13129,226461.59,2164.74,0,21554.79,2604.58,21.96,106.68,507.96,21.96,198.79,58653.76,259,44931.81,45019.2,198.79
13173,117565.58,1173.65,0,11189.99,2604.58,23.02,117.34,276.5,23.02,206.18,31826.4,270.71,24152.57,24239.95,206.18
132,11906.07,239.05,1819.11,1109.3,106.87,183.19,102.15,0,183.19,51.17,4831.44,405.8,490.13,609.29,51.17
13200,194906.56,1729.97,0,18551.36,2604.58,19.8,108.54,404.39,19.8,157.64,50423.41,258.71,30637.99,30725.37,157.64
13202,45381.44,770.96,3869.07,4228.24,106.87,109.63,95.53,0,109.63,67.02,14776.72,325.61,2630.75,3041.25,67.02
13206,176447.4,1712.35,0,16794.4,2604.58,22.16,109.94,402.55,22.16,183.35,46310.76,262.46,32264.6,32351.99,183.35
13227,27380.62,332.27,0,2606.11,2604.58,28.34,190.31,78.14,28.34,245.18,9555.86,349,6625.86,6713.24,245.18
13231,75503.21,827.86,0,7186.46,2604.58,25.45,129.68,194.71,25.45,226.23,21554.83,285.48,16993.41,17080.8,226.23
13244,141519.49,1260.32,0,13469.94,2604.58,19.97,113.59,296.54,19.97,165.91,37348.31,263.91,23392.45,23479.84,165.91
13255,266788.33,2339.68,0,25393.12,2604.58,19.59,104.94,547.58,19.59,158.29,68003.03,254.9,42141.81,42229.2,158.29
13263,80739.09,754.97,0,7684.81,2604.58,21.22,127.44,178.1,21.22,185.02,22527.45,279.02,14851.09,14938.48,185.02
133,403.84,36.23,230.38,37.63,106.87,684.3,357.82,0,684.3,100.86,469.49,1162.58,0.46,40.73,100.86
13565,153.58,18.24,128.32,14.31,106.87,988.05,789.08,0,988.05,262.54,291.42,1897.59,0.05,40.32,262.54
13767,2684.71,57.21,471.27,250.14,106.87,205.4,132.98,0,205.4,51.54,1231.85,458.84,96.07,138.37,51.54
13909,76722.15,833.17,0,7302.47,2604.58,25.53,129.13,197.37,25.53,240.11,21866.83,285.01,18334.34,18421.73,240.11
13987,19972.67,345.2,1881.47,1860.88,106.87,119.07,98.52,0,119.07,66.07,6751.84,338.05,1129.31,1319.65,66.07
14,5975.49,124.56,955.43,556.74,106.87,191.46,111.06,0,191.46,49.21,2527.46,422.97,226.34,294.05,49.21
14004,57234.8,596.94,0,5447.65,2604.58,24.13,140.69,141.2,24.13,211.28,16894.33,295.18,12005.35,12092.73,211.28
14037,100286.42,924.55,0,9545.34,2604.58,20.92,121.15,219.27,20.92,180.71,27321.06,272.43,18035.55,18122.93,180.71
14054,6329.02,136.05,1101.66,589.68,106.87,207.32,110.06,0,207.32,46.86,2771.06,437.83,225.88,296.58,46.86
14056,16107.7,305.2,1647.1,1500.77,106.87,129.39,99.81,0,129.39,63.61,5632.08,349.65,868.6,1024.66,63.61
14058,174058.1,1679.33,0,16566.99,2604.58,22.13,110.14,394.78,22.13,194.36,45713,262.63,33742.22,33829.61,194.36
141,40090.55,417.59,0,3815.85,2604.58,23.81,160.15,98.43,23.81,198.39,12601.11,314.32,7866.31,7953.7,198.39
14256,148.11,10.74,86.31,13.8,106.87,676.83,814.75,0,676.83,273.63,238.76,1612.03,0.26,40.53,273.63
14389,1464.03,55.61,675.44,136.41,106.87,527.3,166.17,0,527.3,29.71,1191.62,813.93,3.23,43.5,29.71
14398,1215.48,59.84,784.13,113.25,106.87,731.65,181.1,0,731.65,33.69,1255.85,1033.21,0.68,40.95,33.69
1449,4516.65,68.99,0,429.9,2604.58,36.43,671.84,29.18,36.43,379.17,3787.81,838.63,1625.21,1712.59,379.17
14669,35461.75,361.06,0,3375.28,2604.58,23.49,168.63,86.53,23.49,210.27,11435.59,322.48,7369.25,7456.64,210.27
14692,59865.44,555.72,0,5698.04,2604.58,21.16,138.69,132.22,21.16,183.46,17373.19,290.2,10895.5,10982.88,183.46
14697,192558.26,1715.14,0,18327.85,2604.58,19.99,108.71,403.44,19.99,167.07,49882.49,259.05,32083.45,32170.84,167.07
14701,110533.48,1149.77,0,10520.66,2604.58,24.11,118.74,270.76,24.11,212.96,30199.29,273.21,23451.34,23538.72,212.96
14705,161962.39,1562.65,0,15415.71,2604.58,21.98,111.26,366.93,21.98,189.24,42694.04,263.6,30562.79,30650.17,189.24
14713,67912.77,628.65,0,6463.99,2604.58,21.04,133.53,149.52,21.04,179.48,19350.3,284.93,12101.64,12189.02,179.48
14714,44285.61,564.7,0,4215.14,2604.58,30.08,153.99,131.48,30.08,248.92,13924.9,314.43,10936.01,11023.4,248.92
14718,27335.64,445.65,2595.32,2546.9,106.87,118.59,97.08,0,118.59,66.91,9188.29,336.13,1572.72,1828.91,66.91
14720,38374.67,390.79,0,3652.53,2604.58,23.31,163.05,92.23,23.31,197.12,12154.24,316.73,7476.89,7564.27,197.12
14794,641.13,41.53,351.2,59.74,106.87,632.12,259.87,0,632.12,65.2,649.12,1012.45,1.53,41.8,65.2
14933,6032.8,148.66,2108.53,562.08,106.87,390.33,110.89,0,390.33,21.63,3750.45,621.68,62.28,130.47,21.63
14938,182.54,24.28,162.03,17.01,106.87,1053.48,678.66,0,1053.48,221.1,338.17,1852.61,0.09,40.36,221.1
14944,677.54,37.79,313.15,63.13,106.87,535.13,250.91,0,535.13,63.56,614.19,906.5,2.8,43.07,63.56
1498,17981.29,226.75,0,1711.47,2604.58,30.15,240.03,90.42,30.15,224.42,7202.24,400.54,3948.04,4035.42,224.42
15,5323.7,97.89,609.46,496.02,106.87,141.29,113.25,0,141.29,60.72,1996.38,375,261,323.27,60.72
153,111.81,18.88,114.6,10.42,106.87,1233.41,1049.01,0,1233.41,360.34,268.67,2402.88,0.02,40.29,360.34
1534,38326.57,430.12,0,3647.95,2604.58,25.87,163.14,100.79,25.87,211.76,12240.3,319.37,8028.8,8116.18,211.76
154,20725.71,241.31,0,1972.69,2604.58,29.47,220.85,106.16,29.47,227.19,7889.76,380.68,4621.36,4708.74,227.19
15400,63638.39,615.92,0,6057.15,2604.58,22.26,136.11,146.81,22.26,201.73,18373.82,288.72,12750.22,12837.6,201.73
15419,49787.81,497.73,0,4738.84,2604.58,23.13,147.49,119.02,23.13,204.35,14985.45,300.99,10086.88,10174.27,204.35
15460,106185.22,1047.81,0,10106.79,2604.58,22.87,119.71,248.54,22.87,214.93,28981.86,272.94,22735.19,22822.57,214.93
15461,58732.09,613.44,0,5590.17,2604.58,24.23,139.53,144.84,24.23,214.62,17273.76,294.11,12517.56,12604.94,214.62
15641,124719.1,1270.44,0,11870.86,2604.58,23.6,116.06,296.09,23.6,209.52,33676.9,270.02,26043.66,26131.05,209.52
15719,226660.3,2112.08,0,21573.71,2604.58,21.32,106.67,498.64,21.32,189.83,58556.92,258.35,42938.63,43026.01,189.83
1574,28472.35,330.65,0,2710.02,2604.58,26.93,186.66,77.76,26.93,230.27,9792.82,343.94,6469.03,6556.41,230.27
1580,25880.84,320.61,0,2463.36,2604.58,28.87,195.82,75.05,28.87,237.04,9188.91,355.05,6047.4,6134.79,237.04
1586,18288.3,230.68,0,1740.7,2604.58,31.99,237.6,100.63,31.99,242.6,7314.34,399.95,4349.41,4436.8,242.6
15879,35872.55,399.88,0,3414.38,2604.58,25.99,167.79,94.54,25.99,232.75,11627.46,324.13,8261.86,8349.24,232.75
15886,56926.14,582.83,0,5418.28,2604.58,23.58,140.93,138.09,23.58,193.36,16785.66,294.87,10919.79,11007.17,193.36
15897,49102.53,495.55,0,4673.62,2604.58,23.37,148.22,118.46,23.37,207.76,14826.71,301.95,10114.03,10201.42,207.76
15943,148130.04,1405.71,0,14099.13,2604.58,21.79,112.76,332.9,21.79,199.58,39241.71,264.91,29476.81,29564.2,199.58
15948,112614.98,1072.6,0,10718.78,2604.58,21.8,118.31,254.08,21.8,193.35,30458.29,270.46,21686.75,21774.13,193.35
15966,565480.81,5213.58,0,53822.91,2604.58,21.1,99.79,1237.62,21.1,202.96,142073.38,251.24,114681.23,114768.62,202.96
15970,96143.97,1037.21,0,9151.06,2604.58,24.97,122.27,243.17,24.97,207.89,26689.85,277.6,19899.54,19986.93,207.89
15979,124059.49,1188,0,11808.08,2604.58,21.93,116.18,281.04,21.93,194.81,33305.28,268.46,24080.57,24167.95,194.81
15983,55117.65,568.23,0,5246.14,2604.58,23.85,142.44,134.24,23.85,208.25,16350.14,296.64,11390.75,11478.14,208.25
1609,44058.03,486.59,0,4193.48,2604.58,25.62,154.3,115.03,25.62,214.15,13670.21,310.28,9347.71,9435.1,214.15
1623,81355.63,767.9,0,7743.49,2604.58,21.29,127.2,179.32,21.29,173.96,22685.22,278.84,14065.24,14152.63,173.96
16395,10020.1,162.23,0,953.72,2604.58,38.05,355.12,66.31,38.05,352.25,5245.72,523.52,3442.15,3529.54,352.25
16526,23135.86,303.72,0,2202.09,2604.58,31.31,207.76,71.45,31.31,284.4,8547.09,369.43,6492.39,6579.77,284.4
16941,21757.03,408.21,2451.46,2027.13,106.87,139.91,98.08,0,139.91,60.81,7798.86,358.45,1116.84,1323.13,60.81
16953,48278.8,513.39,0,4595.21,2604.58,24.68,149.13,120.97,24.68,211.15,14685.02,304.17,10106.76,10194.15,211.15
1697,241.89,28.67,183.17,22.54,106.87,904.54,535.01,0,904.54,167.31,377.34,1560.01,0.2,40.47,167.31
17,754.85,36.33,285.29,70.33,106.87,440.61,234.76,0,440.61,60.68,600.73,795.83,5.54,45.81,60.68
1700,40048.93,653.48,3057.49,3731.41,106.87,99.43,95.84,0,99.43,70.59,12644.61,315.73,2458.51,2827.15,70.59
1709,75127.34,741.43,0,7150.68,2604.58,22.41,129.85,173.18,22.41,181.25,21231.97,282.61,13529.53,13616.92,181.25
17163,11660.55,174.62,0,1109.86,2604.58,35.23,318.55,72.02,35.23,336.73,5645.33,484.14,3839.1,3926.49,336.73
173,8670.61,181.35,1045.28,807.85,106.87,150.83,105.5,0,150.83,57.39,3266.96,376.79,406.66,497.6,57.39
1755,21690.6,225.12,0,2064.53,2604.58,25.94,215.26,99.1,25.94,206.21,8059.34,371.56,4385.34,4472.73,206.21
1779,90214.74,851.03,0,8586.71,2604.58,21.42,124.05,202.29,21.42,189.13,24884.15,275.83,16974.54,17061.92,189.13
18,754.85,35.1,274.39,70.33,106.87,424.02,234.76,0,424.02,61.56,588.2,779.23,6.2,46.46,61.56
19,7470.48,217.2,1600.08,696.03,106.87,258.61,107.48,0,258.61,32.99,3634.73,486.55,165.92,246.43,32.99
197,1687.97,41.08,565.48,157.27,106.87,372.28,156.49,0,372.28,35.39,1095.88,649.23,19.47,59.74,35.39
2,313.14,13.15,104.53,29.18,106.87,388.02,434.47,0,388.02,138.89,295.28,942.95,3.22,43.49,138.89
20,57765.85,651.92,0,5498.2,2604.58,26.68,140.27,157.13,26.68,259.81,17173.97,297.3,14920.54,15007.93,259.81
204,9716.95,186.01,1069.07,905.34,106.87,137.75,104.17,0,137.75,61.16,3521.19,362.38,494.21,594.28,61.16
21,754.83,36.61,287.66,70.33,106.87,444.24,234.76,0,444.24,60.49,603.45,799.45,5.39,45.66,60.49
211,213532.77,2684.9,12350.97,19895.11,106.87,76.16,93.67,0,76.16,69.05,61986.23,290.29,14006.46,14745.31,69.05
22,754.84,35.1,274.39,70.33,106.87,424.02,234.76,0,424.02,61.56,588.2,779.24,6.19,46.46,61.56
220,15853.6,344.52,2607.86,1477.1,106.87,197.89,99.91,0,197.89,46.26,6630.95,418.26,579.6,733.44,46.26
2248,668.45,17.69,223.03,62.28,106.87,373.92,253.06,0,373.92,70.23,499.62,747.44,6.67,46.94,70.23
2251,13851.12,171.46,0,1318.36,2604.58,29.87,283.22,69.41,29.87,251.79,6142.33,443.45,3400.24,3487.63,251.79
23,277.11,30.17,197.91,25.82,106.87,852.8,478.84,0,852.8,145.82,402.4,1452.1,0.14,40.41,145.82
24,754.84,35.14,274.72,70.33,106.87,424.52,234.76,0,424.52,61.54,588.58,779.74,6.18,46.45,61.54
25,754.85,35.41,277.03,70.33,106.87,428.05,234.76,0,428.05,61.32,591.25,783.27,6.02,46.29,61.32
257,6776.35,145.62,1215.98,631.36,106.87,212.49,108.94,0,212.49,45.1,2994.43,441.89,231.11,305.63,45.1
2726,7364.05,151,852.09,686.12,106.87,145.35,107.68,0,145.35,59.68,2750.46,373.5,359.86,439.47,59.68
273,4714.76,91.02,499.44,439.28,106.87,133.09,115.84,0,133.09,64.6,1741.6,369.39,247.33,304.57,64.6
2861,14018.56,260.49,1531.98,1306.13,106.87,135.72,100.8,0,135.72,63.15,5004.31,356.98,747.57,885.24,63.15
2868,2754.89,57.64,544.35,256.68,106.87,230.37,131.97,0,230.37,46.63,1330.04,482.79,85.81,128.46,46.63
29,212.72,15.84,130.23,19.82,106.87,707.89,595.58,0,707.89,190.84,302.91,1423.93,0.33,40.6,190.84
30,202.21,16.81,140.73,18.84,106.87,802.54,621.72,0,802.54,200.16,312.35,1544.72,0.2,40.47,200.16
305,23923.18,308.38,0,2277.03,2604.58,30.11,204.05,72.34,30.11,242.48,8720.5,364.52,5713.58,5800.97,242.48
31,321.52,28.32,186.16,29.96,106.87,691.73,425.58,0,691.73,126.43,397.96,1237.77,0.38,40.65,126.43
32,11525.83,243.75,1712.89,1073.88,106.87,179.76,102.44,0,179.76,50.56,4641.05,402.66,466.88,582.74,50.56
3225,97337.06,1204.84,0,9264.62,2604.58,28.92,121.94,279.97,28.92,236.63,27372.67,281.22,22945.56,23032.94,236.63
323,3632.11,73.88,549.13,338.41,106.87,181.94,122.6,0,181.94,53.79,1543.63,425,146.7,195.35,53.79
3283,1638.39,36.32,350.72,152.65,106.87,246.31,158.4,0,246.31,50.69,860.44,525.18,42.79,83.06,50.69
3296,40644.52,714.65,4135.01,3786.9,106.87,127.06,95.8,0,127.06,63.39,13954.09,343.32,2203.17,2576.64,63.39
329702,222535.19,2176.73,0,21181.08,2604.58,22.2,106.88,506.42,22.2,185.03,57734.03,259.44,41088.8,41176.18,185.03
33,287.75,18.15,148.93,26.81,106.87,599.07,464.58,0,599.07,142.65,340.73,1184.11,0.78,41.05,142.65
3346,96267.38,1000.66,0,9162.81,2604.58,24.24,122.24,236.45,24.24,232.47,26649.74,276.83,22291.52,22378.91,232.47
3353,11330.45,152.52,0,1078.44,2604.58,32.68,325.06,61.07,32.68,257.9,5530.27,488.09,2834.75,2922.14,257.9
3363,9498.55,200.66,1279.33,884.99,106.87,165.33,104.42,0,165.33,55.8,3706.41,390.21,431.83,529.99,55.8
3372,48280.9,527.98,0,4595.41,2604.58,25.22,149.13,124.12,25.22,203.18,14711.37,304.7,9722.48,9809.86,203.18
3375,12591.04,246.8,1377.74,1173.12,106.87,137.73,101.66,0,137.73,60.51,4530.87,359.85,636.78,761.92,60.51
34,287.76,17.47,143.21,26.81,106.87,576.17,464.58,0,576.17,143.01,334.14,1161.2,0.88,41.15,143.01
3416,43130.38,534.28,0,4105.18,2604.58,29.01,155.57,125.36,29.01,238.84,13583.47,314.94,10213.77,10301.16,238.84
3421,121960.34,1139.59,0,11608.28,2604.58,20.98,116.54,266.48,20.98,168.62,32669.8,267.87,20477.05,20564.43,168.62
3476,75573.74,750.56,0,7193.17,2604.58,22.52,129.64,175.3,22.52,180.77,21351.15,282.52,13574.27,13661.65,180.77
35,777.71,36.9,291.09,72.46,106.87,436.12,230.59,0,436.12,59.4,612.19,787.17,5.93,46.2,59.4
3518,184934.75,1671.26,0,17602.24,2604.58,20.28,109.26,394.23,20.28,170,48064.5,259.9,31351.65,31439.04,170
3553,312.69,41.61,376.51,29.13,106.87,1374.08,434.96,0,1374.08,129.15,603.34,1929.51,0.11,40.38,129.15
36,777.71,34.55,270.25,72.46,106.87,405.3,230.59,0,405.3,61.3,588.23,756.36,7.4,47.67,61.3
3684,1246.94,32.66,612.59,116.18,106.87,533.84,178.88,0,533.84,35.76,1038.93,833.18,4.32,44.59,35.76
37,12836.72,259.87,1601.7,1196.01,106.87,154.05,101.5,0,154.05,57.23,4826.63,376,607.32,734.65,57.23
3713,6121.09,135.55,1338.11,570.31,106.87,252.12,110.63,0,252.12,39.76,2957.76,483.21,174.45,243.4,39.76
3718,411.92,31.17,270.28,38.38,106.87,753.36,352.62,0,753.36,99.1,505.2,1226.45,0.55,40.82,99.1
38,426.33,29.88,249.49,39.72,106.87,675.31,343.85,0,675.31,96.34,485.86,1139.62,0.8,41.07,96.34
39,426.34,29.47,246.02,39.72,106.87,665.96,343.85,0,665.96,96.41,481.88,1130.27,0.83,41.1,96.41
3932,19327.27,227.46,0,1839.58,2604.58,30.37,229.94,100.88,30.37,277.8,7550.53,390.67,5281.67,5369.05,277.8
4,251.16,15.26,122.96,23.4,106.87,568.05,518.7,0,568.05,163.52,303.2,1207.21,0.8,41.07,163.52
41,11190.57,154.54,0,1065.13,2604.58,33.73,327.93,63.88,33.73,264.08,5505.99,492.02,2867.85,2955.24,264.08
419,59710.8,651.63,0,5683.32,2604.58,25.06,138.8,152.71,25.06,196.74,17567.75,294.21,11659.99,11747.37,196.74
45,309.11,26.93,178.5,28.8,106.87,688.96,438.92,0,688.96,131.49,385.88,1248.34,0.38,40.64,131.49
46,51734.1,725,3310.07,4820.13,106.87,84.22,95.24,0,84.22,71.57,15516.08,299.92,3250.01,3702.54,71.57
48,269.96,29.24,192.68,25.15,106.87,851.68,489.06,0,851.68,149.67,394.47,1461.2,0.14,40.41,149.67
49,11572.7,243.25,1696.82,1078.24,106.87,177.54,102.41,0,177.54,51.19,4633.73,400.4,476.14,592.42,51.19
4958,186219.86,1853.09,0,17724.55,2604.58,23.13,109.17,436.62,23.13,217.58,48912.15,262.66,40430.91,40518.3,217.58
5,288.21,17.2,139.65,26.85,106.87,561.75,463.99,0,561.75,143.02,330.35,1146.2,0.95,41.22,143.02
50,223.63,21.95,143.38,20.84,106.87,766.26,571.08,0,766.26,180.82,326.01,1457.8,0.17,40.44,180.82
5099,88732.3,895.65,0,8445.61,2604.58,22.96,124.53,209.99,22.96,185.8,24654.49,277.85,16398.64,16486.03,185.8
51,4257.49,99.29,922.11,396.68,106.87,251.85,118.27,0,251.85,39.08,2088.66,490.58,112.84,166.36,39.08
5100,56739.87,705.76,0,5400.55,2604.58,29.3,141.08,164.67,29.3,255.01,17063.91,300.74,14381.95,14469.34,255.01
5108,23463.31,262.84,0,2233.26,2604.58,28.45,206.19,115.61,28.45,243.68,8564.06,365,5630.05,5717.44,243.68
