,BLDGID,MEAN_AVGHT,Lat,Lon,Building,Property Name,Primary Property Type,Year Built,# of Buildings,ENERGY STAR Score
74,116,27.04,41.871277,-87.62530500000001,"(41.871277, -87.62530500000001)",Irving Park-CPS,K-12 School,1906,1,17.0
75,121,21.44,41.871254,-87.629852,"(41.871254, -87.629852)",Armour Eleme-CPS,K-12 School,2014,1,55.0
76,122,26.98,41.870377000000005,-87.634399,"(41.870377000000005, -87.634399)",South Shore-CPS,K-12 School,2010,1,72.0
77,123,39.19,41.872078,-87.633301,"(41.872078, -87.633301)","Fourth Prairie Shores, LLC",Multifamily Housing,1960,1,38.0
78,124,21.03,41.871258000000005,-87.628723,"(41.871258000000005, -87.628723)",Presence Resurrection Retirement Community,Multifamily Housing,1978,4,10.0
79,125,10.49,41.871254,-87.629852,"(41.871254, -87.629852)",Armour Eleme-CPS,K-12 School,2014,1,55.0
80,126,11.66,41.872063,-87.636719,"(41.872063, -87.636719)",American Library Association,Office,1960,2,
81,131,52.82,41.872078,-87.633301,"(41.872078, -87.633301)","Fourth Prairie Shores, LLC",Multifamily Housing,1960,1,38.0
82,132,35.93,41.872093,-87.631012,"(41.872093, -87.631012)",990 West Fullerton Building,College/University,1980,1,
83,133,8.22,41.872085999999996,-87.632141,"(41.872085999999996, -87.632141)",Hinton Eleme-CPS,K-12 School,1965,1,83.0
84,141,32.22,41.872108000000004,-87.62759399999999,"(41.872108000000004, -87.62759399999999)",Saint Alphonsus Parish,Mixed Use Property,1918,3,
85,153,8.75,41.87294,-87.632141,"(41.87294, -87.632141)",Park Millennium Condominium Association.,Multifamily Housing,2002,1,18.0
86,154,31.83,41.872078,-87.633301,"(41.872078, -87.633301)","Fourth Prairie Shores, LLC",Multifamily Housing,1960,1,38.0
87,173,12.24,41.872101,-87.629852,"(41.872101, -87.629852)",820 W. Jackson LLC,Office,1915,1,40.0
88,197,16.87,41.872966999999996,-87.62759399999999,"(41.872966999999996, -87.62759399999999)",225 W. Ohio,Office,1907,1,90.0
89,204,10.54,41.872971,-87.626465,"(41.872971, -87.626465)",Roosevelt Hi-CPS,K-12 School,1927,1,83.0
90,211,46.53,41.872128000000004,-87.62530500000001,"(41.872128000000004, -87.62530500000001)",U.S. Bank -- Pullman Branch,Bank Branch,1972,1,43.0
91,220,42.44,41.872952000000005,-87.62988299999999,"(41.872952000000005, -87.62988299999999)",Shoreline Towers CA,Multifamily Housing,1970,1,46.0
92,257,20.9,41.872948,-87.631012,"(41.872948, -87.631012)",4235,Retail Store,1977,1,61.0
93,273,5.38,41.872971,-87.626465,"(41.872971, -87.626465)",Roosevelt Hi-CPS,K-12 School,1927,1,83.0
94,305,28.87,41.872955,-87.628723,"(41.872955, -87.628723)",1212 Lake Shore Drive Condominium,Multifamily Housing,1969,1,23.0
95,323,9.17,41.873795,-87.631012,"(41.873795, -87.631012)",Schurz High-CPS,K-12 School,1910,1,81.0
96,419,31.19,41.872105,-87.628723,"(41.872105, -87.628723)",Scientific Games-2718 Roscoe,Office,2012,1,47.0
97,599,13.28,41.873814,-87.626465,"(41.873814, -87.626465)",Jenel Management Corp,Retail Store,1992,1,
98,603,43.17,41.872982,-87.62530500000001,"(41.872982, -87.62530500000001)",Goudy Elemen-CPS,K-12 School,1938,1,96.0
99,620,24.34,41.872046999999995,-87.638977,"(41.872046999999995, -87.638977)",231 South LaSalle,Office,1924,1,88.0
100,643,13.18,41.874607,-87.636719,"(41.874607, -87.636719)",McLean,Laboratory,1953,1,
101,655,53.52,41.872925,-87.633301,"(41.872925, -87.633301)",College of Education Building,College/University,2000,1,
102,656,35.78,41.873775,-87.633301,"(41.873775, -87.633301)",Pete's Cermak,Supermarket/Grocery Store,2006,1,50.0
103,657,5.35,41.873795,-87.631012,"(41.873795, -87.631012)",Schurz High-CPS,K-12 School,1910,1,81.0
104,661,28.21,41.873795,-87.631012,"(41.873795, -87.631012)",Schurz High-CPS,K-12 School,1910,1,81.0
105,665,38.79,41.872093,-87.631012,"(41.872093, -87.631012)",990 West Fullerton Building,College/University,1980,1,
106,668,30.01,41.872101,-87.629852,"(41.872101, -87.629852)",820 W. Jackson LLC,Office,1915,1,40.0
107,671,74.59,41.873798,-87.62988299999999,"(41.873798, -87.62988299999999)",Audubon Elem-CPS,K-12 School,1893,1,90.0
108,675,15.67,41.873798,-87.628723,"(41.873798, -87.628723)",Malcolm X College,College/University,1971,1,
109,998,51.04,41.874638,-87.63104200000001,"(41.874638, -87.63104200000001)",DCAM,Ambulatory Surgical Center,1996,1,
110,1449,30.61,41.875481,-87.633301,"(41.875481, -87.633301)",325 West Huron Street,Office,1920,1,91.0
111,1498,27.24,41.874657,-87.628754,"(41.874657, -87.628754)",The Park Monroe Condominium Homes Association,Multifamily Housing,2009,1,12.0
112,1534,42.51,41.874649,-87.62988299999999,"(41.874649, -87.62988299999999)",1500 Lakeshore Drive Building Corp.,Multifamily Housing,1928,1,53.0
113,1574,49.22,41.874638,-87.63104200000001,"(41.874638, -87.63104200000001)",DCAM,Ambulatory Surgical Center,1996,1,
114,1580,36.29,41.874649,-87.62988299999999,"(41.874649, -87.62988299999999)",1500 Lakeshore Drive Building Corp.,Multifamily Housing,1928,1,53.0
115,1586,26.71,41.874657,-87.628754,"(41.874657, -87.628754)",The Park Monroe Condominium Homes Association,Multifamily Housing,2009,1,12.0
116,1609,52.82,41.874664,-87.627625,"(41.874664, -87.627625)",200 N. Dearborn CA,Multifamily Housing,1989,1,10.0
117,1623,38.41,41.874638,-87.63104200000001,"(41.874638, -87.63104200000001)",DCAM,Ambulatory Surgical Center,1996,1,
118,1697,13.73,41.875465000000005,-87.63559000000001,"(41.875465000000005, -87.63559000000001)",CarsonRachel-CPS,K-12 School,1917,1,44.0
119,1700,17.49,41.874598999999996,-87.637878,"(41.874598999999996, -87.637878)",RyderWilliam-CPS,K-12 School,1963,1,54.0
120,1709,39.88,41.874664,-87.627625,"(41.874664, -87.627625)",200 N. Dearborn CA,Multifamily Housing,1989,1,10.0
121,1755,26.26,41.875515,-87.626465,"(41.875515, -87.626465)",Goldblatts Building,Office,1940,1,71.0
122,1779,28.02,41.874676,-87.625336,"(41.874676, -87.625336)",Lafayette El-CPS,K-12 School,1893,1,79.0
123,2248,5.51,41.875492,-87.62988299999999,"(41.875492, -87.62988299999999)",Max Palevsky/Bartlett Commons,Residence Hall/Dormitory,2001,2,
124,2251,30.13,41.875515,-87.626465,"(41.875515, -87.626465)",Goldblatts Building,Office,1940,1,71.0
125,2726,9.2,41.875481,-87.633301,"(41.875481, -87.633301)",325 West Huron Street,Office,1920,1,91.0
126,2861,16.94,41.876305,-87.636749,"(41.876305, -87.636749)",830 North Michigan,Enclosed Mall,1966,1,
127,2868,6.75,41.876369,-87.62649499999999,"(41.876369, -87.62649499999999)",Higgins C A-CPS,K-12 School,1950,1,31.0
128,3225,55.49,41.874598999999996,-87.637878,"(41.874598999999996, -87.637878)",RyderWilliam-CPS,K-12 School,1963,1,54.0
129,3283,8.17,41.876328,-87.63333100000001,"(41.876328, -87.63333100000001)",Pullman Wheelworks,Multifamily Housing,1920,6,39.0
130,3296,24.53,41.875492,-87.62988299999999,"(41.875492, -87.62988299999999)",Max Palevsky/Bartlett Commons,Residence Hall/Dormitory,2001,2,
131,3346,141.68,41.87632,-87.63446,"(41.87632, -87.63446)",DixonArthur-CPS,K-12 School,1928,1,97.0
132,3353,28.73,41.87632,-87.63446,"(41.87632, -87.63446)",DixonArthur-CPS,K-12 School,1928,1,97.0
133,3363,17.47,41.876328,-87.63333100000001,"(41.876328, -87.63333100000001)",Pullman Wheelworks,Multifamily Housing,1920,6,39.0
134,3372,39.43,41.875484,-87.632172,"(41.875484, -87.632172)",Halsted Pershing,Other,2009,1,
135,3375,11.93,41.876339,-87.63104200000001,"(41.876339, -87.63104200000001)",8750 West Bryn Mawr Ave - Triangle Plaza-,Office,1985,1,85.0
136,3416,54.5,41.875496000000005,-87.628754,"(41.875496000000005, -87.628754)",ChavezCesar-CPS,K-12 School,1993,1,2.0
137,3421,47.61,41.875496000000005,-87.628754,"(41.875496000000005, -87.628754)",ChavezCesar-CPS,K-12 School,1993,1,2.0
138,3476,38.81,41.875507,-87.627625,"(41.875507, -87.627625)",Galileo Scho-CPS,K-12 School,1894,1,57.0
139,3500,16.63,41.876343,-87.629913,"(41.876343, -87.629913)",Chicago Temple Building,Office,1924,1,31.0
140,3507,69.15,41.876373,-87.625336,"(41.876373, -87.625336)",Carroll-Rose-CPS,K-12 School,1958,1,99.0
141,3518,47.46,41.875526,-87.625336,"(41.875526, -87.625336)",St. Edmund's Episcopal Church,K-12 School,1937,1,
142,3553,9.89,41.877209,-87.62649499999999,"(41.877209, -87.62649499999999)",Edelstone Center,Office,1966,1,46.0
143,3684,9.43,41.877186,-87.632202,"(41.877186, -87.632202)","Riverpoint Owner, LLC",Other,1988,3,
144,3713,10.69,41.877193,-87.628784,"(41.877193, -87.628784)",Brunson Math-CPS,K-12 School,2000,1,22.0
145,3718,8.36,41.877209,-87.62649499999999,"(41.877209, -87.62649499999999)",Edelstone Center,Office,1966,1,46.0
146,3932,46.8,41.877167,-87.63446,"(41.877167, -87.63446)",The Elm at Clark,Multifamily Housing,1989,1,22.0
147,4958,129.83,41.877151,-87.636749,"(41.877151, -87.636749)",Altgeld Elem-CPS,K-12 School,1905,1,34.0
148,5089,84.03,41.877136,-87.639038,"(41.877136, -87.639038)",222 North LaSalle,Office,1986,1,93.0
149,5099,52.68,41.877205,-87.627625,"(41.877205, -87.627625)",Parker Eleme-CPS,K-12 School,1930,1,90.0
150,5100,108.53,41.877151,-87.636749,"(41.877151, -87.636749)",Altgeld Elem-CPS,K-12 School,1905,1,34.0
151,5108,49.34,41.878009999999996,-87.634491,"(41.878009999999996, -87.634491)",Roseland Centre 10450 S Michigan,Senior Care Community,2006,1,58.0
152,5113,33.97,41.877167,-87.63446,"(41.877167, -87.63446)",The Elm at Clark,Multifamily Housing,1989,1,22.0
153,5114,84.11,41.877178,-87.63333100000001,"(41.877178, -87.63333100000001)",401 East Ontario Condominiums,Multifamily Housing,1988,1,88.0
154,5133,46.17,41.87294,-87.632141,"(41.87294, -87.632141)",Park Millennium Condominium Association.,Multifamily Housing,2002,1,18.0
155,5152,72.49,41.877186,-87.63104200000001,"(41.877186, -87.63104200000001)",Peck Element-CPS,K-12 School,1926,1,65.0
156,5153,59.84,41.87719,-87.629913,"(41.87719, -87.629913)",Granville Beach Condominium Association,Multifamily Housing,1963,1,49.0
157,5160,50.42,41.87719,-87.629913,"(41.87719, -87.629913)",Granville Beach Condominium Association,Multifamily Housing,1963,1,49.0
158,5172,83.6,41.878029,-87.632202,"(41.878029, -87.632202)",Presence Stone Professional Office Building,Medical Office,1991,1,36.0
159,5178,33.98,41.877193,-87.628784,"(41.877193, -87.628784)",Brunson Math-CPS,K-12 School,2000,1,22.0
160,5187,54.32,41.877193,-87.628784,"(41.877193, -87.628784)",Brunson Math-CPS,K-12 School,2000,1,22.0
161,5277,60.48,41.878067,-87.62649499999999,"(41.878067, -87.62649499999999)",De Diego Com-CPS,K-12 School,1891,1,87.0
162,5347,94.92,41.877224,-87.625366,"(41.877224, -87.625366)",Douglas Park,Other - Recreation,1928,1,
163,5845,10.05,41.878006,-87.63561999999999,"(41.878006, -87.63561999999999)",(IL345)-Walton On The Park,Multifamily Housing,2010,1,34.0
164,5914,2.28,41.878853,-87.63678,"(41.878853, -87.63678)",U.S. Cellular Plaza - 8420 _ Goby LLC,Office,1982,1,70.0
165,6077,141.54,41.878044,-87.629913,"(41.878044, -87.629913)",Steinmetz Ac-CPS,K-12 School,1934,1,90.0
166,6213,53.63,41.877995,-87.637909,"(41.877995, -87.637909)",Cardenas Ele-CPS,K-12 School,1973,1,17.0
167,6229,63.09,41.878009999999996,-87.634491,"(41.878009999999996, -87.634491)",Roseland Centre 10450 S Michigan,Senior Care Community,2006,1,58.0
168,6281,21.89,41.878052000000004,-87.628784,"(41.878052000000004, -87.628784)",Hyde Park Bank,Office,1926,1,
169,6291,80.27,41.878029,-87.632202,"(41.878029, -87.632202)",Presence Stone Professional Office Building,Medical Office,1991,1,36.0
170,6343,70.98,41.878021000000004,-87.633362,"(41.878021000000004, -87.633362)",Sandoval Ele-CPS,K-12 School,1998,1,91.0
171,6823,11.45,41.878871999999994,-87.633362,"(41.878871999999994, -87.633362)",6420 W Fullerton at Bricktown Square,Strip Mall,1987,1,
172,6854,10.53,41.878871999999994,-87.633362,"(41.878871999999994, -87.633362)",6420 W Fullerton at Bricktown Square,Strip Mall,1987,1,
173,6855,15.02,41.878899,-87.628784,"(41.878899, -87.628784)",#1107 Chicago South Loop,Wholesale Club/Supercenter,2012,1,13.0
174,7043,166.18,41.878853,-87.63678,"(41.878853, -87.63678)",U.S. Cellular Plaza - 8420 _ Goby LLC,Office,1982,1,70.0
175,7192,116.57,41.878845,-87.637909,"(41.878845, -87.637909)",Humboldt Park,Other - Recreation,1928,1,
176,7196,11.51,41.878857,-87.63561999999999,"(41.878857, -87.63561999999999)",618 S. Michigan,College/University,1925,1,
177,7200,94.73,41.878052000000004,-87.628784,"(41.878052000000004, -87.628784)",Hyde Park Bank,Office,1926,1,
178,7207,73.76,41.878871999999994,-87.633362,"(41.878871999999994, -87.633362)",6420 W Fullerton at Bricktown Square,Strip Mall,1987,1,
179,7236,88.59,41.878895,-87.631073,"(41.878895, -87.631073)",223 West Erie,Office,1890,1,87.0
180,7239,46.56,41.878883,-87.632202,"(41.878883, -87.632202)",Henry Crown Field House,Fitness Center/Health Club/Gym,1932,1,
181,7240,9.46,41.878895,-87.631073,"(41.878895, -87.631073)",223 West Erie,Office,1890,1,87.0
182,7254,44.02,41.878899,-87.628784,"(41.878899, -87.628784)",#1107 Chicago South Loop,Wholesale Club/Supercenter,2012,1,13.0
183,7297,44.64,41.878056,-87.627625,"(41.878056, -87.627625)",731 S Plymouth,Residence Hall/Dormitory,1897,1,42.0
184,7319,39.37,41.878067,-87.62649499999999,"(41.878067, -87.62649499999999)",De Diego Com-CPS,K-12 School,1891,1,87.0
185,7336,49.8,41.878067,-87.625366,"(41.878067, -87.625366)",The Carlyle Condominium Association,Multifamily Housing,1966,1,10.0
186,8063,94.58,41.879684000000005,-87.637939,"(41.879684000000005, -87.637939)",Austin 1900 Building,Distribution Center,1962,1,97.0
187,8117,38.85,41.879761,-87.626526,"(41.879761, -87.626526)",One River Place Condominium Association,Multifamily Housing,1929,1,90.0
188,8330,49.71,41.879704,-87.635651,"(41.879704, -87.635651)",MckayFrancis-CPS,K-12 School,1928,1,17.0
189,8340,10.44,41.878914,-87.626526,"(41.878914, -87.626526)",Herzl-CPS,K-12 School,1916,1,95.0
190,8398,34.21,41.879719,-87.633362,"(41.879719, -87.633362)",4800-50 South Lake Park Ave,Multifamily Housing,1974,2,34.0
191,8402,158.01,41.879719,-87.633362,"(41.879719, -87.633362)",4800-50 South Lake Park Ave,Multifamily Housing,1974,2,34.0
192,8403,117.64,41.8797,-87.63678,"(41.8797, -87.63678)",17 N. State LLC,Office,1914,1,89.0
193,8440,91.13,41.879723,-87.632202,"(41.879723, -87.632202)",122 Property LLC,Office,1910,1,52.0
194,8472,60.74,41.87973,-87.631073,"(41.87973, -87.631073)",Saint Clement School,K-12 School,1905,1,53.0
195,8487,96.6,41.879745,-87.628784,"(41.879745, -87.628784)",Budlong Elem-CPS,K-12 School,1905,1,86.0
196,8495,3.41,41.879684000000005,-87.637939,"(41.879684000000005, -87.637939)",Austin 1900 Building,Distribution Center,1962,1,97.0
197,8547,10.02,41.878914,-87.626526,"(41.878914, -87.626526)",Herzl-CPS,K-12 School,1916,1,95.0
198,9170,72.33,41.8797,-87.63678,"(41.8797, -87.63678)",17 N. State LLC,Office,1914,1,89.0
199,9182,120.41,41.8797,-87.63678,"(41.8797, -87.63678)",17 N. State LLC,Office,1914,1,89.0
200,9193,135.97,41.879715000000004,-87.634491,"(41.879715000000004, -87.634491)",Millenium on LaSalle,Office,1902,1,78.0
201,9208,41.32,41.880565999999995,-87.63452099999999,"(41.880565999999995, -87.63452099999999)",Cameron Elem-CPS,K-12 School,1897,1,42.0
202,9225,43.86,41.879719,-87.633362,"(41.879719, -87.633362)",4800-50 South Lake Park Ave,Multifamily Housing,1974,2,34.0
203,9232,105.77,41.879723,-87.632202,"(41.879723, -87.632202)",122 Property LLC,Office,1910,1,52.0
204,9253,33.33,41.87973,-87.631073,"(41.87973, -87.631073)",Saint Clement School,K-12 School,1905,1,53.0
205,9256,25.97,41.879745,-87.628784,"(41.879745, -87.628784)",Budlong Elem-CPS,K-12 School,1905,1,86.0
206,9257,96.17,41.879745,-87.628784,"(41.879745, -87.628784)",Budlong Elem-CPS,K-12 School,1905,1,86.0
207,9259,109.45,41.879738,-87.629944,"(41.879738, -87.629944)",Village Market,Other - Mall,2011,1,
208,9307,58.78,41.879757,-87.627655,"(41.879757, -87.627655)",Montgomery on Superior Condominium Association,Multifamily Housing,2005,1,6.0
209,9321,16.03,41.878918,-87.624237,"(41.878918, -87.624237)",Bernard Mitchell Hospital,Hospital (General Medical & Surgical),1983,1,10.0
210,9325,67.37,41.879771999999996,-87.625366,"(41.879771999999996, -87.625366)",Washington E-CPS,K-12 School,1917,1,46.0
211,9420,3.48,41.880581,-87.629944,"(41.880581, -87.629944)",United Center,Indoor Arena,1994,1,
212,9535,6.34,41.880581,-87.63110400000001,"(41.880581, -87.63110400000001)",142 East Ontario,Office,1986,1,52.0
213,9567,4.8,41.880581,-87.629944,"(41.880581, -87.629944)",United Center,Indoor Arena,1994,1,
214,9601,123.25,41.880547,-87.63678,"(41.880547, -87.63678)",The Belmont by Reside,Multifamily Housing,1924,1,67.0
215,9604,36.85,41.880592,-87.628815,"(41.880592, -87.628815)",Revere Eleme-CPS,K-12 School,1903,1,9.0
216,9608,53.99,41.880577,-87.632233,"(41.880577, -87.632233)",NathanSDavis-CPS,K-12 School,1905,1,51.0
217,9610,95.8,41.880562,-87.635651,"(41.880562, -87.635651)","Foxboro Properties, LLC",Office,1995,1,71.0
218,9620,79.75,41.880565999999995,-87.63452099999999,"(41.880565999999995, -87.63452099999999)",Cameron Elem-CPS,K-12 School,1897,1,42.0
