,BLDGID,MEAN_AVGHT,Lat,Lon,OBJECTID,ID,SSR,TOPELEV_M,MED_SLOPE,BASEELEV_M,HGT_AGL,ROOFTYPE,AREA_M2,AVGHT_M,MINHT_M,MAXHT_M,BASE_M,LEN,WID,ORIENT8,Shape_Leng,Shape_Area,geometry
29,29,3.16,41.867859,-87.62982199999999,194,237225.0,999.0,183.91,16.0,180.66,3.25,Complex,106.285,3.16,2.66,5.02,180.76,20.96,5.07,0.0,52.0614000019,106.285049835,"POLYGON ((-87.62908236683538 41.86817455182009, -87.62933491478518 41.86817316817972, -87.62933536272286 41.86821883838246, -87.62908281459332 41.86822022202504, -87.62908236683538 41.86817455182009))"
30,30,3.2,41.867863,-87.628662,165,235858.0,999.0,183.95,17.0,180.59,3.36,Complex,101.029,3.2,2.76,3.52,180.7,22.99,4.39,0.0,54.7659999989,101.028541356,"POLYGON ((-87.62868329629998 41.86818891610019, -87.62896028484494 41.86818739948957, -87.6289606728284 41.86822698051483, -87.6286836841126 41.86822849712755, -87.62868329629998 41.86818891610019))"
31,31,6.94,41.86787,-87.627533,139,235600.0,42.0,188.79,26.0,180.45,8.34,Pitched,107.092,6.94,1.04,9.25,180.54,15.59,6.87,1.2,44.9231544955,107.092384313,"POLYGON ((-87.62763642513517 41.86818478499876, -87.62771914202476 41.86818303773845, -87.627724450953 41.86832343037182, -87.62764173389148 41.86832517853779, -87.62763642513517 41.86818478499876))"
32,32,15.57,41.867863,-87.628662,53,234259.0,42.0,193.27,42.0,180.91,12.36,Pitched,1919.564,15.57,2.61,22.2,182.14,61.88,60.51,0.32,19.8968101854,22.6790224927,"POLYGON ((-87.62825559871968 41.86827230801141, -87.62829822214914 41.86827189650023, -87.62829921886829 41.86832963103549, -87.62825659539166 41.86833004164664, -87.62825559871968 41.86827230801141))"
33,32,15.57,41.867863,-87.628662,58,234367.0,999.0,190.64,18.0,180.8,9.84,Complex,1919.564,15.57,2.61,22.2,182.14,61.88,60.51,0.32,28.7940489977,51.1980879557,"POLYGON ((-87.62829822214914 41.86827189650023, -87.62839444416157 41.86827096834483, -87.62839544096727 41.86832870287866, -87.62829921886829 41.86832963103549, -87.62829822214914 41.86827189650023))"
34,32,15.57,41.867863,-87.628662,59,234368.0,42.0,190.66,19.0,181.34,9.32,Pitched,1919.564,15.57,2.61,22.2,182.14,61.88,60.51,0.32,29.1730553736,52.4127784836,"POLYGON ((-87.62815709227436 41.86827325845286, -87.62825559871968 41.86827230801141, -87.62825659539166 41.86833004164664, -87.62815808885776 41.86833099208954, -87.62815709227436 41.86827325845286))"
35,32,15.57,41.867863,-87.628662,62,234379.0,42.0,195.85,46.0,181.86,13.99,Pitched,1919.564,15.57,2.61,22.2,182.14,61.88,60.51,0.32,22.0492447515,26.4861117247,"POLYGON ((-87.62825443484341 41.86820488125527, -87.6282970570232 41.86820446975142, -87.62829822214914 41.86827189650023, -87.62825559871968 41.86827230801141, -87.62825443484341 41.86820488125527))"
36,32,15.57,41.867863,-87.628662,74,234454.0,41.0,195.87,8.0,182.36,13.51,Flat,1919.564,15.57,2.61,22.2,182.14,61.88,60.51,0.32,29.7724638941,55.1050084827,"POLYGON ((-87.62839220645277 41.86814140134272, -87.62839327893454 41.86820354159767, -87.6282970570232 41.86820446975142, -87.62829598463458 41.86814232949492, -87.62839220645277 41.86814140134272))"
37,32,15.57,41.867863,-87.628662,75,234455.0,42.0,195.95,28.0,182.17,13.78,Pitched,1919.564,15.57,2.61,22.2,182.14,61.88,60.51,0.32,30.1517708267,56.4136833057,"POLYGON ((-87.62815485503586 41.86814369054225, -87.62825336129114 41.86814274100469, -87.62825443484341 41.86820488125527, -87.62815592850158 41.86820583169501, -87.62815485503586 41.86814369054225))"
38,32,15.57,41.867863,-87.628662,80,234460.0,42.0,193.28,37.0,181.81,11.47,Pitched,1919.564,15.57,2.61,22.2,182.14,61.88,60.51,0.32,31.3256888202,61.2124973744,"POLYGON ((-87.62815592850158 41.86820583169501, -87.62825443484341 41.86820488125527, -87.62825559871968 41.86827230801141, -87.62815709227436 41.86827325845286, -87.62815700013921 41.86826790890872, -87.62815592850158 41.86820583169501))"
39,32,15.57,41.867863,-87.628662,294,238135.0,42.0,193.32,26.0,181.77,11.55,Pitched,1919.564,15.57,2.61,22.2,182.14,61.88,60.51,0.32,30.946483565,59.7930896484,"POLYGON ((-87.6282970570232 41.86820446975142, -87.62839327893454 41.86820354159767, -87.62839435201546 41.86826561970166, -87.62839444416157 41.86827096834483, -87.62829822214914 41.86827189650023, -87.6282970570232 41.86820446975142))"
40,32,15.57,41.867863,-87.628662,299,238140.0,41.0,201.38,11.0,180.65,20.73,Flat,1919.564,15.57,2.61,22.2,182.14,61.88,60.51,0.32,35.7826583737,73.9656213135,"POLYGON ((-87.62817433196149 41.86790277869678, -87.62831177174233 41.8679014531245, -87.62831277974786 41.86795984780111, -87.6281753410469 41.86796117336886, -87.62817433196149 41.86790277869678))"
41,32,15.57,41.867863,-87.628662,2372,365232.0,41.0,198.82,2.0,180.5,18.32,Flat,1919.564,15.57,2.61,22.2,182.14,61.88,60.51,0.32,252.775343739,1460.29834571,"POLYGON ((-87.62815485503586 41.86814369054225, -87.62815136175693 41.86794133011179, -87.62764315312471 41.86794623064618, -87.62764047348777 41.86779091374756, -87.62838602977094 41.8677837231614, -87.62839220645277 41.86814140134272, -87.62829598463458 41.86814232949492, -87.6282970570232 41.86820446975142, -87.62825443484341 41.86820488125527, -87.62825336129114 41.86814274100469, -87.62815485503586 41.86814369054225), (-87.62817433196149 41.86790277869678, -87.6281753410469 41.86796117336886, -87.62831277974786 41.86795984780111, -87.62831177174233 41.8679014531245, -87.62817433196149 41.86790277869678))"
42,33,3.1,41.86871,-87.62982199999999,170,235863.0,999.0,183.81,17.0,180.61,3.2,Complex,143.77,3.1,2.45,3.56,180.7,25.02,5.75,0.0,61.5272000004,143.770400192,"POLYGON ((-87.62908751408231 41.86828413836314, -87.62938894357031 41.868282486836, -87.62938945127684 41.86833424621741, -87.62908802154573 41.86833589774753, -87.62908751408231 41.86828413836314))"
43,34,2.99,41.86871,-87.628693,224,237451.0,41.0,183.86,15.0,180.61,3.25,Flat,143.773,2.99,0.56,4.98,180.72,25.02,5.75,0.0,61.5274,143.772901847,"POLYGON ((-87.62867616412959 41.86829248037359, -87.62897759368057 41.8682908299258, -87.62897810106426 41.86834259021183, -87.62867667127017 41.86834424066261, -87.62867616412959 41.86829248037359))"
44,35,9.01,41.86871,-87.62982199999999,249,237753.0,42.0,189.51,30.0,180.69,8.82,Pitched,194.285,9.01,3.27,11.14,180.84,22.99,8.45,0.0,62.8793999981,194.284772271,"POLYGON ((-87.62909239389687 41.86836632313538, -87.62936938318589 41.86836480553293, -87.62937012979515 41.8684409225342, -87.62909314017759 41.86844244014068, -87.62909239389687 41.86836632313538))"
45,36,8.42,41.86871,-87.628693,250,237754.0,42.0,189.51,33.0,180.71,8.79,Pitched,194.285,8.42,0.0,11.08,180.87,22.99,8.45,0.0,62.8794,194.284772306,"POLYGON ((-87.62868104221332 41.86837466517336, -87.62895803156022 41.86837314856275, -87.62895877768173 41.86844926556993, -87.62868178800629 41.86845078218458, -87.62868104221332 41.86837466517336))"
46,37,22.36,41.86787,-87.62640400000001,281,238104.0,41.0,202.05,4.0,180.92,21.13,Flat,1603.416,22.36,0.72,40.69,181.16,49.3,32.52,0.0,136.793200001,941.377802676,"POLYGON ((-87.62603072822247 41.86830313308078, -87.62646397007678 41.86830077063936, -87.62662478697801 41.86829989329865, -87.6266264663776 41.86847185846082, -87.62603240603018 41.86847509826238, -87.62603072822247 41.86830313308078))"
47,37,22.36,41.86787,-87.62640400000001,2105,342543.0,42.0,209.22,35.0,180.97,28.25,Pitched,1603.416,22.36,0.72,40.69,181.16,49.3,32.52,0.0,36.1903999969,63.3768049326,"POLYGON ((-87.62662436932487 41.86825712671538, -87.62662478697801 41.86829989329865, -87.62646397007678 41.86830077063936, -87.62646355253081 41.86825800405479, -87.62662436932487 41.86825712671538))"
48,37,22.36,41.86787,-87.62640400000001,2111,342635.0,42.0,221.25,42.0,181.06,40.19,Pitched,1603.416,22.36,0.72,40.69,181.16,49.3,32.52,0.0,21.9426000006,29.9194247022,"POLYGON ((-87.62631290800488 41.86821540834147, -87.62638401619785 41.86821502053034, -87.6263844619392 41.86826068085161, -87.62631335369562 41.86826106866335, -87.62631290800488 41.86821540834147))"
49,37,22.36,41.86787,-87.62640400000001,2558,366724.0,41.0,206.07,6.0,180.8,25.26,Flat,1603.416,22.36,0.72,40.69,181.16,49.3,32.52,0.0,147.404199999,568.741768731,"POLYGON ((-87.62662436932487 41.86825712671538, -87.62646355253081 41.86825800405479, -87.62646397007678 41.86830077063936, -87.62603072822247 41.86830313308078, -87.62602954828789 41.86818219599555, -87.62662360592394 41.86817895622709, -87.62662436932487 41.86825712671538), (-87.62631290800488 41.86821540834147, -87.62631335369562 41.86826106866335, -87.6263844619392 41.86826068085161, -87.62638401619785 41.86821502053034, -87.62631290800488 41.86821540834147))"
50,38,8.9,41.86871,-87.62982199999999,166,235859.0,42.0,189.6,37.0,180.74,8.86,Pitched,106.506,8.9,1.98,11.18,180.82,21.0,5.07,0.0,52.1485999972,106.506141033,"POLYGON ((-87.62909742298272 41.86846373130707, -87.6293504974156 41.86846234474699, -87.6293509453689 41.86850801494725, -87.62909787075591 41.86850940150953, -87.62909742298272 41.86846373130707))"
51,39,8.79,41.86871,-87.628693,138,235599.0,42.0,189.49,36.0,180.71,8.78,Pitched,106.506,8.79,2.53,11.04,180.79,21.0,5.07,0.0,52.1486000009,106.506141072,"POLYGON ((-87.6286860706757 41.86847207336718, -87.62893914516147 41.86847068771331, -87.62893959282211 41.86851635791713, -87.62868651815624 41.86851774357321, -87.6286860706757 41.86847207336718))"
52,41,33.28,41.868675,-87.635529,384,250601.0,41.0,210.52,3.0,177.03,33.49,Flat,931.866,33.28,5.03,57.37,178.24,34.01,27.4,6.28,18.2986357532,26.5780520745,"POLYGON ((-87.63537412811083 41.8685548396414, -87.63538022467777 41.86855440691063, -87.63538633035141 41.86855477213282, -87.63539225825313 41.86855592463299, -87.63539782727929 41.86855782848524, -87.63540287057108 41.86856042606851, -87.63540723312273 41.86856363988115, -87.63541078380376 41.86856736977251, -87.63541341306522 41.86857150466423, -87.63541504132951 41.86857591800066, -87.63541562026661 41.86858047494698, -87.63541513165173 41.86858503870051, -87.6354135909711 41.86858946956993, -87.63541104387866 41.86859363220047, -87.63540756746339 41.86859740187148, -87.63540326902658 41.86860066270203, -87.63539827773666 41.86860331670379, -87.63539274702102 41.86860528196651, -87.63538684258837 41.86860649992971, -87.63538074481158 41.86860693266751, -87.63537464033794 41.86860656743841, -87.63536871243183 41.86860541493737, -87.63536314219746 41.86860351109041, -87.63535809889493 41.86860091260482, -87.63535373635209 41.86859769969094, -87.63535018686864 41.86859396889052, -87.63534755761921 41.86858983489796, -87.63534592815427 41.86858542156727, -87.63534534921314 41.86858086371993, -87.6353458378419 41.86857630086728, -87.63534737973183 41.86857186999204, -87.63534992681865 41.86856770646226, -87.63535340203975 41.86856393770024, -87.63535770046774 41.86856067597094, -87.635362691765 41.86855802287156, -87.63536822368242 41.86855605760363, -87.63537412811083 41.8685548396414))"
53,41,33.28,41.868675,-87.635529,385,250602.0,42.0,219.76,51.0,178.44,41.32,Pitched,931.866,33.28,5.03,57.37,178.24,34.01,27.4,6.28,19.360835581,29.7532161004,"POLYGON ((-87.63556808066923 41.86853490618387, -87.63557453124773 41.86853444806594, -87.63558099139921 41.86853483473376, -87.635587263383 41.86853605377142, -87.63559315643823 41.8685380675054, -87.63559849163894 41.86854081658038, -87.63560310788317 41.86854421632327, -87.63560686436519 41.86854816303445, -87.63560964664462 41.86855253845741, -87.6356113702346 41.86855720705693, -87.63561198194039 41.8685620295219, -87.63561146583062 41.86856685732807, -87.63560983492771 41.86857154539363, -87.6356071396245 41.86857595023137, -87.63560346174897 41.86857993898816, -87.63559891335036 41.86858338855109, -87.63559363319146 41.8685861963752, -87.63558778067946 41.8685882760134, -87.63558153352739 41.86858956433511, -87.63557508173848 41.86859002246012, -87.63556862278641 41.86858963578536, -87.6355623507977 41.86858841674671, -87.63555645772986 41.86858640211056, -87.6355511225271 41.86858365303366, -87.63554650629166 41.86858025418934, -87.63554274980251 41.86857630657557, -87.63553996753548 41.8685719320516, -87.63553824394135 41.86856726255036, -87.63553763224998 41.8685624409856, -87.63553814835635 41.86855761227909, -87.6355397792731 41.86855292511513, -87.63554247457108 41.8685485193783, -87.63554615245755 41.86854453152407, -87.63555070084739 41.86854108106255, -87.6355559810045 41.86853827324041, -87.63556183352193 41.86853619450448, -87.63556808066923 41.86853490618387))"
54,41,33.28,41.868675,-87.635529,393,251412.0,41.0,212.28,2.0,177.5,34.78,Flat,931.866,33.28,5.03,57.37,178.24,34.01,27.4,6.28,84.8865565341,286.812865391,"POLYGON ((-87.6353988072693 41.86837692031862, -87.63549972848985 41.86836805673172, -87.63554755154932 41.8686722782185, -87.63544662985791 41.86868114185022, -87.6353988072693 41.86837692031862))"
