BLDGID,LAT,LON,SSR,TOPELEV_M,MED_SLOPE,BASEELEV_M,HGT_AGL,ROOFTYPE,AREA_M2,AVGHT_M,MINHT_M,MAXHT_M,BASE_M,LEN,WID,ORIENT8,Shape_Leng,Shape_Area
46,41.867851,-87.630951,42,191.56,31,181.56,10.0,Pitched,10277.821,12.51,0.01,20.52,182.78,152.31,77.22,1.55,23.398000000000003,30.7978492504
46,41.867851,-87.630951,41,200.29,2,180.51,19.78,Flat,10277.821,12.51,0.01,20.52,182.78,152.31,77.22,1.55,353.947534319,6472.15787492
46,41.867851,-87.630951,41,187.42,8,181.0,6.42,Flat,10277.821,12.51,0.01,20.52,182.78,152.31,77.22,1.55,224.94907437900002,2852.64970556
46,41.867851,-87.630951,999,198.57,21,183.23,15.34,Complex,10277.821,12.51,0.01,20.52,182.78,152.31,77.22,1.55,50.5959999971,109.21304928299999
46,41.867851,-87.630951,41,197.06,8,181.0,16.06,Flat,10277.821,12.51,0.01,20.52,182.78,152.31,77.22,1.55,25.5783999972,40.1629589098
46,41.867851,-87.630951,999,203.01,21,183.4,19.61,Complex,10277.821,12.51,0.01,20.52,182.78,152.31,77.22,1.55,29.168600000399998,48.829685999300004
46,41.867851,-87.630951,42,190.6,38,180.97,9.63,Pitched,10277.821,12.51,0.01,20.52,182.78,152.31,77.22,1.55,25.501600001,40.0213091237
48,41.868717,-87.627563,41,188.89,4,180.5,8.39,Flat,89.921,7.48,2.91,9.43,180.61,15.21,5.91,0.66,42.2461611578,89.9212733559
49,41.86871,-87.628693,42,199.04,44,181.78,17.26,Pitched,1927.37,15.46,0.0,22.42,182.04,61.2,60.8,0.65,21.8919309398,27.9143037043
49,41.86871,-87.628693,999,201.54,16,181.01,20.53,Complex,1927.37,15.46,0.0,22.42,182.04,61.2,60.8,0.65,38.6560258958,80.6640203317
49,41.86871,-87.628693,42,193.42,34,181.07,12.35,Pitched,1927.37,15.46,0.0,22.42,182.04,61.2,60.8,0.65,30.1379678704,56.6054527611
49,41.86871,-87.628693,42,193.33,25,181.15,12.18,Pitched,1927.37,15.46,0.0,22.42,182.04,61.2,60.8,0.65,22.2955548686,28.730471290700002
49,41.86871,-87.628693,42,193.64,32,181.9,11.74,Pitched,1927.37,15.46,0.0,22.42,182.04,61.2,60.8,0.65,29.2011056249,53.26523390569999
49,41.86871,-87.628693,999,190.89,23,180.69,10.2,Complex,1927.37,15.46,0.0,22.42,182.04,61.2,60.8,0.65,30.082665766999998,56.385906751099995
49,41.86871,-87.628693,42,196.44,29,182.04,14.4,Pitched,1927.37,15.46,0.0,22.42,182.04,61.2,60.8,0.65,28.741977320500002,51.5503923399
49,41.86871,-87.628693,41,198.91,2,180.5,18.41,Flat,1927.37,15.46,0.0,22.42,182.04,61.2,60.8,0.65,236.859866966,1435.5706443
49,41.86871,-87.628693,42,190.9,25,181.3,9.6,Pitched,1927.37,15.46,0.0,22.42,182.04,61.2,60.8,0.65,29.1457023823,53.0583212971
49,41.86871,-87.628693,42,195.92,37,181.56,14.36,Pitched,1927.37,15.46,0.0,22.42,182.04,61.2,60.8,0.65,22.3510592463,28.8427282626
49,41.86871,-87.628693,42,196.17,24,181.27,14.9,Pitched,1927.37,15.46,0.0,22.42,182.04,61.2,60.8,0.65,29.6786372971,54.7822856259
50,41.868671,-87.636658,41,182.19,2,178.44,3.75,Flat,111.735,3.68,2.28,3.94,178.5,18.15,6.16,28.61,48.6124138757,111.73501058299999
51,41.86871,-87.62982199999999,41,186.56,4,180.62,5.94,Flat,1418.125,5.42,-0.01,9.73,180.84,52.14,49.73,1.0,307.307606935,1418.1247111
52,41.86787,-87.627533,42,207.36,40,180.57,26.79,Pitched,7221.219,25.01,0.0,84.29,180.85,173.13,41.83,0.01,214.643800002,857.3074985439999
52,41.86787,-87.627533,42,205.85,22,180.69,25.16,Pitched,7221.219,25.01,0.0,84.29,180.85,173.13,41.83,0.01,137.778200002,1066.34606437
52,41.86787,-87.627533,41,259.42,11,180.44,78.98,Flat,7221.219,25.01,0.0,84.29,180.85,173.13,41.83,0.01,39.0429999996,91.7357722567
52,41.86787,-87.627533,42,255.55,47,180.59,74.96,Pitched,7221.219,25.01,0.0,84.29,180.85,173.13,41.83,0.01,26.1478000004,40.9273947427
52,41.86787,-87.627533,999,251.63,33,180.37,71.26,Complex,7221.219,25.01,0.0,84.29,180.85,173.13,41.83,0.01,59.9599070536,158.85119752
52,41.86787,-87.627533,41,192.58,11,180.61,11.97,Flat,7221.219,25.01,0.0,84.29,180.85,173.13,41.83,0.01,150.764799999,1273.80605722
52,41.86787,-87.627533,42,192.8,20,180.72,12.08,Pitched,7221.219,25.01,0.0,84.29,180.85,173.13,41.83,0.01,134.5868,854.634435565
52,41.86787,-87.627533,42,260.91,44,180.59,80.32,Pitched,7221.219,25.01,0.0,84.29,180.85,173.13,41.83,0.01,38.3264000043,87.5651064235
52,41.86787,-87.627533,41,255.54,17,180.65,74.89,Flat,7221.219,25.01,0.0,84.29,180.85,173.13,41.83,0.01,26.506000001,41.857586414400004
52,41.86787,-87.627533,41,259.43,12,180.6,78.83,Flat,7221.219,25.01,0.0,84.29,180.85,173.13,41.83,0.01,39.4012000002,93.8207290902
52,41.86787,-87.627533,42,263.61,27,180.55,83.06,Pitched,7221.219,25.01,0.0,84.29,180.85,173.13,41.83,0.01,38.326400000599996,87.56510640180001
52,41.86787,-87.627533,42,258.1,41,180.59,77.51,Pitched,7221.219,25.01,0.0,84.29,180.85,173.13,41.83,0.01,39.466199997800004,94.1994262658
52,41.86787,-87.627533,41,255.53,6,180.55,74.98,Flat,7221.219,25.01,0.0,84.29,180.85,173.13,41.83,0.01,59.5140000004,153.185107493
52,41.86787,-87.627533,41,255.53,13,180.7,74.83,Flat,7221.219,25.01,0.0,84.29,180.85,173.13,41.83,0.01,28.7203999981,50.780843362700004
52,41.86787,-87.627533,42,201.95,47,180.8,21.15,Pitched,7221.219,25.01,0.0,84.29,180.85,173.13,41.83,0.01,91.5822000001,126.173958323
52,41.86787,-87.627533,42,194.88,43,180.56,14.32,Pitched,7221.219,25.01,0.0,84.29,180.85,173.13,41.83,0.01,25.6612674753,40.955061123
52,41.86787,-87.627533,41,205.62,6,180.56,25.06,Flat,7221.219,25.01,0.0,84.29,180.85,173.13,41.83,0.01,121.284599999,787.380760744
52,41.86787,-87.627533,42,192.82,20,180.79,12.03,Pitched,7221.219,25.01,0.0,84.29,180.85,173.13,41.83,0.01,123.988,643.904238283
52,41.86787,-87.627533,42,201.9,49,180.76,21.14,Pitched,7221.219,25.01,0.0,84.29,180.85,173.13,41.83,0.01,93.6857999992,174.013880858
52,41.86787,-87.627533,41,255.54,11,180.52,75.02,Flat,7221.219,25.01,0.0,84.29,180.85,173.13,41.83,0.01,28.3621999975,49.652352171000004
52,41.86787,-87.627533,41,192.91,15,180.58,12.33,Flat,7221.219,25.01,0.0,84.29,180.85,173.13,41.83,0.01,97.12760000120001,201.66466610900002
52,41.86787,-87.627533,41,205.63,11,180.62,25.01,Flat,7221.219,25.01,0.0,84.29,180.85,173.13,41.83,0.01,74.9240000006,244.892160046
53,41.86871,-87.62982199999999,41,186.53,4,180.56,5.97,Flat,1473.6129999999998,5.39,-0.01,8.93,180.8,52.2,50.67,0.9,309.912333251,1473.61263385
55,41.868725,-87.62640400000001,41,220.8,3,180.59,40.21,Flat,3249.7790000000005,31.43,3.45,41.2,180.83,63.01,51.58,0.0,24.9920000006,38.8787017513
55,41.868725,-87.62640400000001,42,206.28,43,180.81,25.47,Pitched,3249.7790000000005,31.43,3.45,41.2,180.83,63.01,51.58,0.0,27.6505999994,42.0580417197
55,41.868725,-87.62640400000001,41,218.6,4,180.57,38.03,Flat,3249.7790000000005,31.43,3.45,41.2,180.83,63.01,51.58,0.0,213.22479999599997,1863.4237627
55,41.868725,-87.62640400000001,41,220.89,6,180.84,40.05,Flat,3249.7790000000005,31.43,3.45,41.2,180.83,63.01,51.58,0.0,34.0353999976,58.536448417299994
55,41.868725,-87.62640400000001,41,203.72,1,180.61,23.11,Flat,3249.7790000000005,31.43,3.45,41.2,180.83,63.01,51.58,0.0,153.135199998,1246.88213443
56,41.867878000000005,-87.625244,41,183.64,1,180.59,3.05,Flat,11605.697,36.98,0.0,131.47,180.98,131.29,109.82,0.78,151.724124885,1242.48886012
56,41.867878000000005,-87.625244,41,211.54,3,180.59,30.95,Flat,11605.697,36.98,0.0,131.47,180.98,131.29,109.82,0.78,135.801144844,828.9638477510001
56,41.867878000000005,-87.625244,41,190.13,12,180.66,9.46,Flat,11605.697,36.98,0.0,131.47,180.98,131.29,109.82,0.78,119.489620087,433.496674568
56,41.867878000000005,-87.625244,41,187.33,13,180.78,6.55,Flat,11605.697,36.98,0.0,131.47,180.98,131.29,109.82,0.78,153.461606186,1287.61163253
56,41.867878000000005,-87.625244,999,270.74,20,180.84,89.9,Complex,11605.697,36.98,0.0,131.47,180.98,131.29,109.82,0.78,53.182218048500005,141.50031274
56,41.867878000000005,-87.625244,41,197.28,1,180.67,16.61,Flat,11605.697,36.98,0.0,131.47,180.98,131.29,109.82,0.78,301.281717857,1140.98888484
56,41.867878000000005,-87.625244,41,186.9,2,180.72,6.18,Flat,11605.697,36.98,0.0,131.47,180.98,131.29,109.82,0.78,206.17873424200002,1734.35964177
56,41.867878000000005,-87.625244,41,208.65,1,180.64,28.01,Flat,11605.697,36.98,0.0,131.47,180.98,131.29,109.82,0.78,146.014425938,761.094459112
56,41.867878000000005,-87.625244,41,299.07,5,180.83,118.24,Flat,11605.697,36.98,0.0,131.47,180.98,131.29,109.82,0.78,324.228732986,1161.62305878
56,41.867878000000005,-87.625244,41,186.29,9,180.72,5.57,Flat,11605.697,36.98,0.0,131.47,180.98,131.29,109.82,0.78,160.720206038,1072.9698507
56,41.867878000000005,-87.625244,999,254.95,18,180.83,74.12,Complex,11605.697,36.98,0.0,131.47,180.98,131.29,109.82,0.78,51.96388801689999,129.78269334200002
56,41.867878000000005,-87.625244,41,186.0,1,180.57,5.43,Flat,11605.697,36.98,0.0,131.47,180.98,131.29,109.82,0.78,38.2954451286,82.2846696372
56,41.867878000000005,-87.625244,42,288.99,28,180.67,108.32,Pitched,11605.697,36.98,0.0,131.47,180.98,131.29,109.82,0.78,139.475532897,507.337847774
56,41.867878000000005,-87.625244,42,277.04,34,180.85,96.18,Pitched,11605.697,36.98,0.0,131.47,180.98,131.29,109.82,0.78,50.18319964770001,112.657964327
56,41.867878000000005,-87.625244,42,283.24,41,180.7,102.54,Pitched,11605.697,36.98,0.0,131.47,180.98,131.29,109.82,0.78,20.5016644377,26.179736102
56,41.867878000000005,-87.625244,42,310.85,36,181.31,129.54,Pitched,11605.697,36.98,0.0,131.47,180.98,131.29,109.82,0.78,49.376499977399995,162.768077302
56,41.867878000000005,-87.625244,41,214.36,12,180.75,33.61,Flat,11605.697,36.98,0.0,131.47,180.98,131.29,109.82,0.78,27.0452584356,45.12941486890001
56,41.867878000000005,-87.625244,41,291.76,6,180.73,111.03,Flat,11605.697,36.98,0.0,131.47,180.98,131.29,109.82,0.78,40.2200488156,84.396173055
56,41.867878000000005,-87.625244,41,280.11,3,180.72,99.39,Flat,11605.697,36.98,0.0,131.47,180.98,131.29,109.82,0.78,70.56455208310001,284.312759807
56,41.867878000000005,-87.625244,41,301.85,14,181.15,120.7,Flat,11605.697,36.98,0.0,131.47,180.98,131.29,109.82,0.78,50.730030569200004,144.723548825
56,41.867878000000005,-87.625244,42,287.31,31,180.77,106.54,Pitched,11605.697,36.98,0.0,131.47,180.98,131.29,109.82,0.78,32.6898511759,55.5850416862
56,41.867878000000005,-87.625244,42,280.71,39,180.84,99.87,Pitched,11605.697,36.98,0.0,131.47,180.98,131.29,109.82,0.78,21.4142613579,28.381501664
56,41.867878000000005,-87.625244,41,301.81,5,181.0,120.81,Flat,11605.697,36.98,0.0,131.47,180.98,131.29,109.82,0.78,54.60972277649999,137.060452975
57,41.869514,-87.636688,41,183.59,5,178.46,5.13,Flat,54.733000000000004,4.88,1.46,5.19,178.53,8.65,6.33,28.61,29.9535495428,54.732794754
59,41.86953,-87.63324,42,193.79,24,189.87,3.92,Pitched,130.512,3.34,0.0,4.8,190.09,13.17,9.91,5.71,46.16139716439999,130.51156603
61,41.868671,-87.636658,41,190.73,2,178.89,11.84,Flat,663.37,11.49,0.4,11.93,179.08,37.03,17.92,4.85,109.883953119,663.369544164
64,41.869514,-87.636688,41,182.67,5,178.7,3.97,Flat,81.653,3.66,1.35,3.99,178.81,9.73,8.39,3.6,36.243721089,81.6532706351
68,41.869568,-87.627563,999,200.61,28,180.98,19.63,Complex,1359.766,12.7,0.0,20.21,180.92,42.27,37.5,0.89,24.3760511998,37.0916864685
68,41.869568,-87.627563,999,200.52,39,180.63,19.89,Complex,1359.766,12.7,0.0,20.21,180.92,42.27,37.5,0.89,24.7140911927,38.1557453098
68,41.869568,-87.627563,41,196.88,3,180.51,16.37,Flat,1359.766,12.7,0.0,20.21,180.92,42.27,37.5,0.89,158.003329598,955.421409675
68,41.869568,-87.627563,41,184.51,2,180.65,3.86,Flat,1359.766,12.7,0.0,20.21,180.92,42.27,37.5,0.89,89.85067961370001,329.097045627
70,41.867798,-87.638947,42,202.5,31,178.4,24.1,Pitched,12845.267,19.58,1.43,28.45,180.19,170.81,75.7,1.21,29.364733331300002,50.404428279899996
70,41.867798,-87.638947,41,199.66,2,178.5,21.16,Flat,12845.267,19.58,1.43,28.45,180.19,170.81,75.7,1.21,580.2548343359999,12105.4352999
71,41.869578999999995,-87.625275,999,209.22,29,180.92,28.3,Complex,1175.771,23.84,-0.03,31.33,181.1,40.61,31.12,0.89,19.2615332874,22.9067364344
71,41.869578999999995,-87.625275,41,186.47,12,180.64,5.83,Flat,1175.771,23.84,-0.03,31.33,181.1,40.61,31.12,0.89,15.220445293800001,14.211259818699999
71,41.869578999999995,-87.625275,42,211.57,39,181.08,30.49,Pitched,1175.771,23.84,-0.03,31.33,181.1,40.61,31.12,0.89,20.854123283099998,26.3002835686
71,41.869578999999995,-87.625275,41,211.69,3,180.89,30.8,Flat,1175.771,23.84,-0.03,31.33,181.1,40.61,31.12,0.89,21.2265684484,28.158933040999997
71,41.869578999999995,-87.625275,41,196.01,14,180.91,15.1,Flat,1175.771,23.84,-0.03,31.33,181.1,40.61,31.12,0.89,53.873727233800004,114.14786836200001
71,41.869578999999995,-87.625275,41,205.95,2,180.81,25.14,Flat,1175.771,23.84,-0.03,31.33,181.1,40.61,31.12,0.89,145.459515379,662.858333851
71,41.869578999999995,-87.625275,41,207.68,1,181.07,26.61,Flat,1175.771,23.84,-0.03,31.33,181.1,40.61,31.12,0.89,71.2013231559,307.187638364
72,41.869568,-87.627563,41,189.03,2,180.66,8.37,Flat,123.48299999999999,7.37,0.38,8.37,180.83,15.88,7.78,1.5,47.31261023729999,123.48252454799999
74,41.869578999999995,-87.625275,41,211.53,13,180.92,30.61,Flat,1560.9470000000001,24.99,0.07,42.82,181.02,40.39,39.48,0.89,197.13747158400002,563.8225066030001
74,41.869578999999995,-87.625275,42,200.39,25,180.95,19.44,Pitched,1560.9470000000001,24.99,0.07,42.82,181.02,40.39,39.48,0.89,27.1292854477,38.3090467238
74,41.869578999999995,-87.625275,999,196.04,18,180.77,15.27,Complex,1560.9470000000001,24.99,0.07,42.82,181.02,40.39,39.48,0.89,113.846286621,552.3571586180001
74,41.869578999999995,-87.625275,42,215.41,20,181.05,34.36,Pitched,1560.9470000000001,24.99,0.07,42.82,181.02,40.39,39.48,0.89,66.1634115307,245.08425005400002
74,41.869578999999995,-87.625275,42,200.49,40,180.89,19.6,Pitched,1560.9470000000001,24.99,0.07,42.82,181.02,40.39,39.48,0.89,40.1944688186,64.4975003159
74,41.869578999999995,-87.625275,41,218.64,14,181.2,37.44,Flat,1560.9470000000001,24.99,0.07,42.82,181.02,40.39,39.48,0.89,18.3867260118,18.7871716328
74,41.869578999999995,-87.625275,41,216.39,14,181.0,35.39,Flat,1560.9470000000001,24.99,0.07,42.82,181.02,40.39,39.48,0.89,36.726648352,78.08910625930001
75,41.86956,-87.62982199999999,41,186.58,7,180.58,6.0,Flat,1587.674,5.34,-0.04,12.81,180.79,53.19,52.37,0.62,335.510625398,1587.6738783
76,41.86956,-87.62982199999999,41,186.51,3,180.63,5.88,Flat,1402.031,5.21,-0.01,8.15,180.82,54.78,51.85,0.62,293.817861117,1402.03148072
77,41.869568,-87.627563,41,189.02,4,180.74,8.28,Flat,128.63299999999998,7.44,1.42,8.49,180.82,15.99,8.09,0.6,48.0530865822,128.63328662
78,41.869564000000004,-87.628693,999,201.67,26,181.0,20.67,Complex,1992.609,15.6,0.0,22.96,182.11,62.1,61.19,0.65,43.586847319300006,107.407515955
78,41.869564000000004,-87.628693,42,193.85,30,182.06,11.79,Pitched,1992.609,15.6,0.0,22.96,182.11,62.1,61.19,0.65,28.9262892819,52.2891409629
78,41.869564000000004,-87.628693,41,193.71,13,181.77,11.94,Flat,1992.609,15.6,0.0,22.96,182.11,62.1,61.19,0.65,29.9167526019,55.83052608770001
78,41.869564000000004,-87.628693,42,196.01,46,181.92,14.09,Pitched,1992.609,15.6,0.0,22.96,182.11,62.1,61.19,0.65,20.9433660295,23.746331681199997
78,41.869564000000004,-87.628693,42,193.36,20,181.13,12.23,Pitched,1992.609,15.6,0.0,22.96,182.11,62.1,61.19,0.65,18.7639260701,20.1276823595
